Name,ch4par1
,
USA,5.432560435898141e-06
CAN,7.685308796986845e-06
WEU,1.8215914789337694e-06
JPK,4.1924934439542966e-07
ANZ,1.2481038317077758e-05
EEU,3.129037549112321e-05
FSU,8.508157974881682e-05
MDE,1.2615302459241707e-05
CAM,1.2969631133723268e-05
LAM,4.070274972423027e-06
SAS,2.5108603541029478e-05
SEA,1.942013778735208e-05
CHI,3.1833225072988836e-05
MAF,1.942013778735208e-05
SSA,1.942013778735208e-05
SIS,1.942013778735208e-05
