Region,rqbm
USA,NormalDistribution(0.4342; 5.5281)
CAN,NormalDistribution(0.4342; 5.5281)
WEU,NormalDistribution(0.4341; 2.0412)
JPK,NormalDistribution(0.4342; 4.7723)
ANZ,NormalDistribution(0.4342; 4.7024)
EEU,NormalDistribution(0.4342; 2.4533)
FSU,NormalDistribution(0.4342; 5.5281)
MDE,NormalDistribution(0.4194; 2.5196)
CAM,NormalDistribution(0.4342; 4.1696)
LAM,NormalDistribution(0.4335; 3.0017)
SAS,NormalDistribution(0.4342; 4.2086)
SEA,NormalDistribution(0.4339; 2.6935)
CHI,NormalDistribution(0.4319; 5.3883)
MAF,NormalDistribution(0.4341; 3.0711)
SSA,NormalDistribution(0.411; 1.5337)
SIS,NormalDistribution(0.2522; 1.669)
