,hurrbasedam
USA,1.469567239055485
CAN,0.007355093353963904
WEU,1.729412257728359e-05
JPK,0.32867600755067294
ANZ,0.10028159361157267
EEU,0
FSU,0.017163938344905802
MDE,0
CAM,1.7725998154853742
LAM,0.0130629900020999
SAS,0.9364540115245783
SEA,0.41431887543760554
CHI,1.972917174044218
MAF,0
SSA,0.05910566861440185
SIS,5.731350074080639
