Name,n2opar1
,
USA,1.3643399300513113e-08
CAN,1.6210932121231756e-08
WEU,1.9746491637233022e-08
JPK,9.543171160119202e-09
ANZ,4.618480878968715e-09
EEU,8.354085861828878e-08
FSU,1.943170162872146e-08
MDE,1.943170162872146e-08
CAM,2.003690527600374e-08
LAM,1.943170162872146e-08
SAS,1.7095251654972804e-07
SEA,4.720532796743053e-18
CHI,1.4208078964057265e-07
MAF,1.943170162872146e-08
SSA,1.943170162872146e-08
SIS,1.943170162872146e-08
