Timestep,Region,n2oem
ANZ,2345,0.15
2345,ANZ,0.15
ANZ,2346,0.15
2346,ANZ,0.15
ANZ,2347,0.15
2347,ANZ,0.15
ANZ,2348,0.15
2348,ANZ,0.15
ANZ,2349,0.15
2349,ANZ,0.15
ANZ,2350,0.15
2350,ANZ,0.15
ANZ,2351,0.15
2351,ANZ,0.15
ANZ,2352,0.15
2352,ANZ,0.15
ANZ,2353,0.15
2353,ANZ,0.15
ANZ,2354,0.15
2354,ANZ,0.15
ANZ,2355,0.15
2355,ANZ,0.15
ANZ,2356,0.15
2356,ANZ,0.15
ANZ,2357,0.15
2357,ANZ,0.15
ANZ,2358,0.15
2358,ANZ,0.15
ANZ,2359,0.15
2359,ANZ,0.15
ANZ,2360,0.15
2360,ANZ,0.15
ANZ,2361,0.15
2361,ANZ,0.15
ANZ,2362,0.15
2362,ANZ,0.15
ANZ,2363,0.15
2363,ANZ,0.15
ANZ,2364,0.15
2364,ANZ,0.15
ANZ,2365,0.15
2365,ANZ,0.15
ANZ,2366,0.15
2366,ANZ,0.15
ANZ,2367,0.15
2367,ANZ,0.15
ANZ,2368,0.15
2368,ANZ,0.15
ANZ,2369,0.15
2369,ANZ,0.15
ANZ,2370,0.15
2370,ANZ,0.15
ANZ,2371,0.15
2371,ANZ,0.15
ANZ,2372,0.15
2372,ANZ,0.15
ANZ,2373,0.15
2373,ANZ,0.15
ANZ,2374,0.15
2374,ANZ,0.15
ANZ,2375,0.15
2375,ANZ,0.15
ANZ,2376,0.15
2376,ANZ,0.15
ANZ,2377,0.15
2377,ANZ,0.15
ANZ,2378,0.15
2378,ANZ,0.15
ANZ,2379,0.15
2379,ANZ,0.15
ANZ,2380,0.15
2380,ANZ,0.15
ANZ,2381,0.15
2381,ANZ,0.15
ANZ,2382,0.15
2382,ANZ,0.15
ANZ,2383,0.15
2383,ANZ,0.15
ANZ,2384,0.15
2384,ANZ,0.15
ANZ,2385,0.15
2385,ANZ,0.15
ANZ,2386,0.15
2386,ANZ,0.15
ANZ,2387,0.15
2387,ANZ,0.15
ANZ,2388,0.15
2388,ANZ,0.15
ANZ,2389,0.15
2389,ANZ,0.15
ANZ,2390,0.15
2390,ANZ,0.15
ANZ,2391,0.15
2391,ANZ,0.15
ANZ,2392,0.15
2392,ANZ,0.15
ANZ,2393,0.15
2393,ANZ,0.15
ANZ,2394,0.15
2394,ANZ,0.15
ANZ,2395,0.15
2395,ANZ,0.15
ANZ,2396,0.15
2396,ANZ,0.15
ANZ,2397,0.15
2397,ANZ,0.15
ANZ,2398,0.15
2398,ANZ,0.15
ANZ,2399,0.15
2399,ANZ,0.15
ANZ,2400,0.15
2400,ANZ,0.15
ANZ,2401,0.15
2401,ANZ,0.15
ANZ,2402,0.15
2402,ANZ,0.15
ANZ,2403,0.15
2403,ANZ,0.15
ANZ,2404,0.15
2404,ANZ,0.15
ANZ,2405,0.15
2405,ANZ,0.15
ANZ,2406,0.15
2406,ANZ,0.15
ANZ,2407,0.15
2407,ANZ,0.15
ANZ,2408,0.15
2408,ANZ,0.15
ANZ,2409,0.15
2409,ANZ,0.15
ANZ,2410,0.15
2410,ANZ,0.15
ANZ,2411,0.15
2411,ANZ,0.15
ANZ,2412,0.15
2412,ANZ,0.15
ANZ,2413,0.15
2413,ANZ,0.15
ANZ,2414,0.15
2414,ANZ,0.15
ANZ,2415,0.15
2415,ANZ,0.15
ANZ,2416,0.15
2416,ANZ,0.15
ANZ,2417,0.15
2417,ANZ,0.15
ANZ,2418,0.15
2418,ANZ,0.15
ANZ,2419,0.15
2419,ANZ,0.15
ANZ,2420,0.15
2420,ANZ,0.15
ANZ,2421,0.15
2421,ANZ,0.15
ANZ,2422,0.15
2422,ANZ,0.15
ANZ,2423,0.15
2423,ANZ,0.15
ANZ,2424,0.15
2424,ANZ,0.15
ANZ,2425,0.15
2425,ANZ,0.15
ANZ,2426,0.15
2426,ANZ,0.15
ANZ,2427,0.15
2427,ANZ,0.15
ANZ,2428,0.15
2428,ANZ,0.15
ANZ,2429,0.15
2429,ANZ,0.15
ANZ,2430,0.15
2430,ANZ,0.15
ANZ,2431,0.15
2431,ANZ,0.15
ANZ,2432,0.15
2432,ANZ,0.15
ANZ,2433,0.15
2433,ANZ,0.15
ANZ,2434,0.15
2434,ANZ,0.15
ANZ,2435,0.15
2435,ANZ,0.15
ANZ,2436,0.15
2436,ANZ,0.15
ANZ,2437,0.15
2437,ANZ,0.15
ANZ,2438,0.15
2438,ANZ,0.15
ANZ,2439,0.15
2439,ANZ,0.15
ANZ,2440,0.15
2440,ANZ,0.15
ANZ,2441,0.15
2441,ANZ,0.15
ANZ,2442,0.15
2442,ANZ,0.15
ANZ,2443,0.15
2443,ANZ,0.15
ANZ,2444,0.15
2444,ANZ,0.15
ANZ,2445,0.15
2445,ANZ,0.15
ANZ,2446,0.15
2446,ANZ,0.15
ANZ,2447,0.15
2447,ANZ,0.15
ANZ,2448,0.15
2448,ANZ,0.15
ANZ,2449,0.15
2449,ANZ,0.15
ANZ,2450,0.15
2450,ANZ,0.15
ANZ,2451,0.15
2451,ANZ,0.15
ANZ,2452,0.15
2452,ANZ,0.15
ANZ,2453,0.15
2453,ANZ,0.15
ANZ,2454,0.15
2454,ANZ,0.15
ANZ,2455,0.15
2455,ANZ,0.15
ANZ,2456,0.15
2456,ANZ,0.15
ANZ,2457,0.15
2457,ANZ,0.15
ANZ,2458,0.15
2458,ANZ,0.15
ANZ,2459,0.15
2459,ANZ,0.15
ANZ,2460,0.15
2460,ANZ,0.15
ANZ,2461,0.15
2461,ANZ,0.15
ANZ,2462,0.15
2462,ANZ,0.15
ANZ,2463,0.15
2463,ANZ,0.15
ANZ,2464,0.15
2464,ANZ,0.15
ANZ,2465,0.15
2465,ANZ,0.15
ANZ,2466,0.15
2466,ANZ,0.15
ANZ,2467,0.15
2467,ANZ,0.15
ANZ,2468,0.15
2468,ANZ,0.15
ANZ,2469,0.15
2469,ANZ,0.15
ANZ,2470,0.15
2470,ANZ,0.15
ANZ,2471,0.15
2471,ANZ,0.15
ANZ,2472,0.15
2472,ANZ,0.15
ANZ,2473,0.15
2473,ANZ,0.15
ANZ,2474,0.15
2474,ANZ,0.15
ANZ,2475,0.15
2475,ANZ,0.15
ANZ,2476,0.15
2476,ANZ,0.15
ANZ,2477,0.15
2477,ANZ,0.15
ANZ,2478,0.15
2478,ANZ,0.15
ANZ,2479,0.15
2479,ANZ,0.15
ANZ,2480,0.15
2480,ANZ,0.15
ANZ,2481,0.15
2481,ANZ,0.15
ANZ,2482,0.15
2482,ANZ,0.15
ANZ,2483,0.15
2483,ANZ,0.15
ANZ,2484,0.15
2484,ANZ,0.15
ANZ,2485,0.15
2485,ANZ,0.15
ANZ,2486,0.15
2486,ANZ,0.15
ANZ,2487,0.15
2487,ANZ,0.15
ANZ,2488,0.15
2488,ANZ,0.15
ANZ,2489,0.15
2489,ANZ,0.15
ANZ,2490,0.15
2490,ANZ,0.15
ANZ,2491,0.15
2491,ANZ,0.15
ANZ,2492,0.15
2492,ANZ,0.15
ANZ,2493,0.15
2493,ANZ,0.15
ANZ,2494,0.15
2494,ANZ,0.15
ANZ,2495,0.15
2495,ANZ,0.15
ANZ,2496,0.15
2496,ANZ,0.15
ANZ,2497,0.15
2497,ANZ,0.15
ANZ,2498,0.15
2498,ANZ,0.15
ANZ,2499,0.15
2499,ANZ,0.15
ANZ,2500,0.15
2500,ANZ,0.15
ANZ,2501,0.15
2501,ANZ,0.15
ANZ,2502,0.15
2502,ANZ,0.15
ANZ,2503,0.15
2503,ANZ,0.15
ANZ,2504,0.15
2504,ANZ,0.15
ANZ,2505,0.15
2505,ANZ,0.15
ANZ,2506,0.15
2506,ANZ,0.15
ANZ,2507,0.15
2507,ANZ,0.15
ANZ,2508,0.15
2508,ANZ,0.15
ANZ,2509,0.15
2509,ANZ,0.15
ANZ,2510,0.15
2510,ANZ,0.15
ANZ,2511,0.15
2511,ANZ,0.15
ANZ,2512,0.15
2512,ANZ,0.15
ANZ,2513,0.15
2513,ANZ,0.15
ANZ,2514,0.15
2514,ANZ,0.15
ANZ,2515,0.15
2515,ANZ,0.15
ANZ,2516,0.15
2516,ANZ,0.15
ANZ,2517,0.15
2517,ANZ,0.15
ANZ,2518,0.15
2518,ANZ,0.15
ANZ,2519,0.15
2519,ANZ,0.15
ANZ,2520,0.15
2520,ANZ,0.15
ANZ,2521,0.15
2521,ANZ,0.15
ANZ,2522,0.15
2522,ANZ,0.15
ANZ,2523,0.15
2523,ANZ,0.15
ANZ,2524,0.15
2524,ANZ,0.15
ANZ,2525,0.15
2525,ANZ,0.15
ANZ,2526,0.15
2526,ANZ,0.15
ANZ,2527,0.15
2527,ANZ,0.15
ANZ,2528,0.15
2528,ANZ,0.15
ANZ,2529,0.15
2529,ANZ,0.15
ANZ,2530,0.15
2530,ANZ,0.15
ANZ,2531,0.15
2531,ANZ,0.15
ANZ,2532,0.15
2532,ANZ,0.15
ANZ,2533,0.15
2533,ANZ,0.15
ANZ,2534,0.15
2534,ANZ,0.15
ANZ,2535,0.15
2535,ANZ,0.15
ANZ,2536,0.15
2536,ANZ,0.15
ANZ,2537,0.15
2537,ANZ,0.15
ANZ,2538,0.15
2538,ANZ,0.15
ANZ,2539,0.15
2539,ANZ,0.15
ANZ,2540,0.15
2540,ANZ,0.15
ANZ,2541,0.15
2541,ANZ,0.15
ANZ,2542,0.15
2542,ANZ,0.15
ANZ,2543,0.15
2543,ANZ,0.15
ANZ,2544,0.15
2544,ANZ,0.15
ANZ,2545,0.15
2545,ANZ,0.15
ANZ,2546,0.15
2546,ANZ,0.15
ANZ,2547,0.15
2547,ANZ,0.15
ANZ,2548,0.15
2548,ANZ,0.15
ANZ,2549,0.15
2549,ANZ,0.15
ANZ,2550,0.15
2550,ANZ,0.15
ANZ,2551,0.15
2551,ANZ,0.15
ANZ,2552,0.15
2552,ANZ,0.15
ANZ,2553,0.15
2553,ANZ,0.15
ANZ,2554,0.15
2554,ANZ,0.15
ANZ,2555,0.15
2555,ANZ,0.15
ANZ,2556,0.15
2556,ANZ,0.15
ANZ,2557,0.15
2557,ANZ,0.15
ANZ,2558,0.15
2558,ANZ,0.15
ANZ,2559,0.15
2559,ANZ,0.15
ANZ,2560,0.15
2560,ANZ,0.15
ANZ,2561,0.15
2561,ANZ,0.15
ANZ,2562,0.15
2562,ANZ,0.15
ANZ,2563,0.15
2563,ANZ,0.15
ANZ,2564,0.15
2564,ANZ,0.15
ANZ,2565,0.15
2565,ANZ,0.15
ANZ,2566,0.15
2566,ANZ,0.15
ANZ,2567,0.15
2567,ANZ,0.15
ANZ,2568,0.15
2568,ANZ,0.15
ANZ,2569,0.15
2569,ANZ,0.15
ANZ,2570,0.15
2570,ANZ,0.15
ANZ,2571,0.15
2571,ANZ,0.15
ANZ,2572,0.15
2572,ANZ,0.15
ANZ,2573,0.15
2573,ANZ,0.15
ANZ,2574,0.15
2574,ANZ,0.15
ANZ,2575,0.15
2575,ANZ,0.15
ANZ,2576,0.15
2576,ANZ,0.15
ANZ,2577,0.15
2577,ANZ,0.15
ANZ,2578,0.15
2578,ANZ,0.15
ANZ,2579,0.15
2579,ANZ,0.15
ANZ,2580,0.15
2580,ANZ,0.15
ANZ,2581,0.15
2581,ANZ,0.15
ANZ,2582,0.15
2582,ANZ,0.15
ANZ,2583,0.15
2583,ANZ,0.15
ANZ,2584,0.15
2584,ANZ,0.15
ANZ,2585,0.15
2585,ANZ,0.15
ANZ,2586,0.15
2586,ANZ,0.15
ANZ,2587,0.15
2587,ANZ,0.15
ANZ,2588,0.15
2588,ANZ,0.15
ANZ,2589,0.15
2589,ANZ,0.15
ANZ,2590,0.15
2590,ANZ,0.15
ANZ,2591,0.15
2591,ANZ,0.15
ANZ,2592,0.15
2592,ANZ,0.15
ANZ,2593,0.15
2593,ANZ,0.15
ANZ,2594,0.15
2594,ANZ,0.15
ANZ,2595,0.15
2595,ANZ,0.15
ANZ,2596,0.15
2596,ANZ,0.15
ANZ,2597,0.15
2597,ANZ,0.15
ANZ,2598,0.15
2598,ANZ,0.15
ANZ,2599,0.15
2599,ANZ,0.15
ANZ,2600,0.15
2600,ANZ,0.15
ANZ,2601,0.15
2601,ANZ,0.15
ANZ,2602,0.15
2602,ANZ,0.15
ANZ,2603,0.15
2603,ANZ,0.15
ANZ,2604,0.15
2604,ANZ,0.15
ANZ,2605,0.15
2605,ANZ,0.15
ANZ,2606,0.15
2606,ANZ,0.15
ANZ,2607,0.15
2607,ANZ,0.15
ANZ,2608,0.15
2608,ANZ,0.15
ANZ,2609,0.15
2609,ANZ,0.15
ANZ,2610,0.15
2610,ANZ,0.15
ANZ,2611,0.15
2611,ANZ,0.15
ANZ,2612,0.15
2612,ANZ,0.15
ANZ,2613,0.15
2613,ANZ,0.15
ANZ,2614,0.15
2614,ANZ,0.15
ANZ,2615,0.15
2615,ANZ,0.15
ANZ,2616,0.15
2616,ANZ,0.15
ANZ,2617,0.15
2617,ANZ,0.15
ANZ,2618,0.15
2618,ANZ,0.15
ANZ,2619,0.15
2619,ANZ,0.15
ANZ,2620,0.15
2620,ANZ,0.15
ANZ,2621,0.15
2621,ANZ,0.15
ANZ,2622,0.15
2622,ANZ,0.15
ANZ,2623,0.15
2623,ANZ,0.15
ANZ,2624,0.15
2624,ANZ,0.15
ANZ,2625,0.15
2625,ANZ,0.15
ANZ,2626,0.15
2626,ANZ,0.15
ANZ,2627,0.15
2627,ANZ,0.15
ANZ,2628,0.15
2628,ANZ,0.15
ANZ,2629,0.15
2629,ANZ,0.15
ANZ,2630,0.15
2630,ANZ,0.15
ANZ,2631,0.15
2631,ANZ,0.15
ANZ,2632,0.15
2632,ANZ,0.15
ANZ,2633,0.15
2633,ANZ,0.15
ANZ,2634,0.15
2634,ANZ,0.15
ANZ,2635,0.15
2635,ANZ,0.15
ANZ,2636,0.15
2636,ANZ,0.15
ANZ,2637,0.15
2637,ANZ,0.15
ANZ,2638,0.15
2638,ANZ,0.15
ANZ,2639,0.15
2639,ANZ,0.15
ANZ,2640,0.15
2640,ANZ,0.15
ANZ,2641,0.15
2641,ANZ,0.15
ANZ,2642,0.15
2642,ANZ,0.15
ANZ,2643,0.15
2643,ANZ,0.15
ANZ,2644,0.15
2644,ANZ,0.15
ANZ,2645,0.15
2645,ANZ,0.15
ANZ,2646,0.15
2646,ANZ,0.15
ANZ,2647,0.15
2647,ANZ,0.15
ANZ,2648,0.15
2648,ANZ,0.15
ANZ,2649,0.15
2649,ANZ,0.15
ANZ,2650,0.15
2650,ANZ,0.15
ANZ,2651,0.15
2651,ANZ,0.15
ANZ,2652,0.15
2652,ANZ,0.15
ANZ,2653,0.15
2653,ANZ,0.15
ANZ,2654,0.15
2654,ANZ,0.15
ANZ,2655,0.15
2655,ANZ,0.15
ANZ,2656,0.15
2656,ANZ,0.15
ANZ,2657,0.15
2657,ANZ,0.15
ANZ,2658,0.15
2658,ANZ,0.15
ANZ,2659,0.15
2659,ANZ,0.15
ANZ,2660,0.15
2660,ANZ,0.15
ANZ,2661,0.15
2661,ANZ,0.15
ANZ,2662,0.15
2662,ANZ,0.15
ANZ,2663,0.15
2663,ANZ,0.15
ANZ,2664,0.15
2664,ANZ,0.15
ANZ,2665,0.15
2665,ANZ,0.15
ANZ,2666,0.15
2666,ANZ,0.15
ANZ,2667,0.15
2667,ANZ,0.15
ANZ,2668,0.15
2668,ANZ,0.15
ANZ,2669,0.15
2669,ANZ,0.15
ANZ,2670,0.15
2670,ANZ,0.15
ANZ,2671,0.15
2671,ANZ,0.15
ANZ,2672,0.15
2672,ANZ,0.15
ANZ,2673,0.15
2673,ANZ,0.15
ANZ,2674,0.15
2674,ANZ,0.15
ANZ,2675,0.15
2675,ANZ,0.15
ANZ,2676,0.15
2676,ANZ,0.15
ANZ,2677,0.15
2677,ANZ,0.15
ANZ,2678,0.15
2678,ANZ,0.15
ANZ,2679,0.15
2679,ANZ,0.15
ANZ,2680,0.15
2680,ANZ,0.15
ANZ,2681,0.15
2681,ANZ,0.15
ANZ,2682,0.15
2682,ANZ,0.15
ANZ,2683,0.15
2683,ANZ,0.15
ANZ,2684,0.15
2684,ANZ,0.15
ANZ,2685,0.15
2685,ANZ,0.15
ANZ,2686,0.15
2686,ANZ,0.15
ANZ,2687,0.15
2687,ANZ,0.15
ANZ,2688,0.15
2688,ANZ,0.15
ANZ,2689,0.15
2689,ANZ,0.15
ANZ,2690,0.15
2690,ANZ,0.15
ANZ,2691,0.15
2691,ANZ,0.15
ANZ,2692,0.15
2692,ANZ,0.15
ANZ,2693,0.15
2693,ANZ,0.15
ANZ,2694,0.15
2694,ANZ,0.15
ANZ,2695,0.15
2695,ANZ,0.15
ANZ,2696,0.15
2696,ANZ,0.15
ANZ,2697,0.15
2697,ANZ,0.15
ANZ,2698,0.15
2698,ANZ,0.15
ANZ,2699,0.15
2699,ANZ,0.15
ANZ,2700,0.15
2700,ANZ,0.15
ANZ,2701,0.15
2701,ANZ,0.15
ANZ,2702,0.15
2702,ANZ,0.15
ANZ,2703,0.15
2703,ANZ,0.15
ANZ,2704,0.15
2704,ANZ,0.15
ANZ,2705,0.15
2705,ANZ,0.15
ANZ,2706,0.15
2706,ANZ,0.15
ANZ,2707,0.15
2707,ANZ,0.15
ANZ,2708,0.15
2708,ANZ,0.15
ANZ,2709,0.15
2709,ANZ,0.15
ANZ,2710,0.15
2710,ANZ,0.15
ANZ,2711,0.15
2711,ANZ,0.15
ANZ,2712,0.15
2712,ANZ,0.15
ANZ,2713,0.15
2713,ANZ,0.15
ANZ,2714,0.15
2714,ANZ,0.15
ANZ,2715,0.15
2715,ANZ,0.15
ANZ,2716,0.15
2716,ANZ,0.15
ANZ,2717,0.15
2717,ANZ,0.15
ANZ,2718,0.15
2718,ANZ,0.15
ANZ,2719,0.15
2719,ANZ,0.15
ANZ,2720,0.15
2720,ANZ,0.15
ANZ,2721,0.15
2721,ANZ,0.15
ANZ,2722,0.15
2722,ANZ,0.15
ANZ,2723,0.15
2723,ANZ,0.15
ANZ,2724,0.15
2724,ANZ,0.15
ANZ,2725,0.15
2725,ANZ,0.15
ANZ,2726,0.15
2726,ANZ,0.15
ANZ,2727,0.15
2727,ANZ,0.15
ANZ,2728,0.15
2728,ANZ,0.15
ANZ,2729,0.15
2729,ANZ,0.15
ANZ,2730,0.15
2730,ANZ,0.15
ANZ,2731,0.15
2731,ANZ,0.15
ANZ,2732,0.15
2732,ANZ,0.15
ANZ,2733,0.15
2733,ANZ,0.15
ANZ,2734,0.15
2734,ANZ,0.15
ANZ,2735,0.15
2735,ANZ,0.15
ANZ,2736,0.15
2736,ANZ,0.15
ANZ,2737,0.15
2737,ANZ,0.15
ANZ,2738,0.15
2738,ANZ,0.15
ANZ,2739,0.15
2739,ANZ,0.15
ANZ,2740,0.15
2740,ANZ,0.15
ANZ,2741,0.15
2741,ANZ,0.15
ANZ,2742,0.15
2742,ANZ,0.15
ANZ,2743,0.15
2743,ANZ,0.15
ANZ,2744,0.15
2744,ANZ,0.15
ANZ,2745,0.15
2745,ANZ,0.15
ANZ,2746,0.15
2746,ANZ,0.15
ANZ,2747,0.15
2747,ANZ,0.15
ANZ,2748,0.15
2748,ANZ,0.15
ANZ,2749,0.15
2749,ANZ,0.15
ANZ,2750,0.15
2750,ANZ,0.15
ANZ,2751,0.15
2751,ANZ,0.15
ANZ,2752,0.15
2752,ANZ,0.15
ANZ,2753,0.15
2753,ANZ,0.15
ANZ,2754,0.15
2754,ANZ,0.15
ANZ,2755,0.15
2755,ANZ,0.15
ANZ,2756,0.15
2756,ANZ,0.15
ANZ,2757,0.15
2757,ANZ,0.15
ANZ,2758,0.15
2758,ANZ,0.15
ANZ,2759,0.15
2759,ANZ,0.15
ANZ,2760,0.15
2760,ANZ,0.15
ANZ,2761,0.15
2761,ANZ,0.15
ANZ,2762,0.15
2762,ANZ,0.15
ANZ,2763,0.15
2763,ANZ,0.15
ANZ,2764,0.15
2764,ANZ,0.15
ANZ,2765,0.15
2765,ANZ,0.15
ANZ,2766,0.15
2766,ANZ,0.15
ANZ,2767,0.15
2767,ANZ,0.15
ANZ,2768,0.15
2768,ANZ,0.15
ANZ,2769,0.15
2769,ANZ,0.15
ANZ,2770,0.15
2770,ANZ,0.15
ANZ,2771,0.15
2771,ANZ,0.15
ANZ,2772,0.15
2772,ANZ,0.15
ANZ,2773,0.15
2773,ANZ,0.15
ANZ,2774,0.15
2774,ANZ,0.15
ANZ,2775,0.15
2775,ANZ,0.15
ANZ,2776,0.15
2776,ANZ,0.15
ANZ,2777,0.15
2777,ANZ,0.15
ANZ,2778,0.15
2778,ANZ,0.15
ANZ,2779,0.15
2779,ANZ,0.15
ANZ,2780,0.15
2780,ANZ,0.15
ANZ,2781,0.15
2781,ANZ,0.15
ANZ,2782,0.15
2782,ANZ,0.15
ANZ,2783,0.15
2783,ANZ,0.15
ANZ,2784,0.15
2784,ANZ,0.15
ANZ,2785,0.15
2785,ANZ,0.15
ANZ,2786,0.15
2786,ANZ,0.15
ANZ,2787,0.15
2787,ANZ,0.15
ANZ,2788,0.15
2788,ANZ,0.15
ANZ,2789,0.15
2789,ANZ,0.15
ANZ,2790,0.15
2790,ANZ,0.15
ANZ,2791,0.15
2791,ANZ,0.15
ANZ,2792,0.15
2792,ANZ,0.15
ANZ,2793,0.15
2793,ANZ,0.15
ANZ,2794,0.15
2794,ANZ,0.15
ANZ,2795,0.15
2795,ANZ,0.15
ANZ,2796,0.15
2796,ANZ,0.15
ANZ,2797,0.15
2797,ANZ,0.15
ANZ,2798,0.15
2798,ANZ,0.15
ANZ,2799,0.15
2799,ANZ,0.15
ANZ,2800,0.15
2800,ANZ,0.15
ANZ,2801,0.15
2801,ANZ,0.15
ANZ,2802,0.15
2802,ANZ,0.15
ANZ,2803,0.15
2803,ANZ,0.15
ANZ,2804,0.15
2804,ANZ,0.15
ANZ,2805,0.15
2805,ANZ,0.15
ANZ,2806,0.15
2806,ANZ,0.15
ANZ,2807,0.15
2807,ANZ,0.15
ANZ,2808,0.15
2808,ANZ,0.15
ANZ,2809,0.15
2809,ANZ,0.15
ANZ,2810,0.15
2810,ANZ,0.15
ANZ,2811,0.15
2811,ANZ,0.15
ANZ,2812,0.15
2812,ANZ,0.15
ANZ,2813,0.15
2813,ANZ,0.15
ANZ,2814,0.15
2814,ANZ,0.15
ANZ,2815,0.15
2815,ANZ,0.15
ANZ,2816,0.15
2816,ANZ,0.15
ANZ,2817,0.15
2817,ANZ,0.15
ANZ,2818,0.15
2818,ANZ,0.15
ANZ,2819,0.15
2819,ANZ,0.15
ANZ,2820,0.15
2820,ANZ,0.15
ANZ,2821,0.15
2821,ANZ,0.15
ANZ,2822,0.15
2822,ANZ,0.15
ANZ,2823,0.15
2823,ANZ,0.15
ANZ,2824,0.15
2824,ANZ,0.15
ANZ,2825,0.15
2825,ANZ,0.15
ANZ,2826,0.15
2826,ANZ,0.15
ANZ,2827,0.15
2827,ANZ,0.15
ANZ,2828,0.15
2828,ANZ,0.15
ANZ,2829,0.15
2829,ANZ,0.15
ANZ,2830,0.15
2830,ANZ,0.15
ANZ,2831,0.15
2831,ANZ,0.15
ANZ,2832,0.15
2832,ANZ,0.15
ANZ,2833,0.15
2833,ANZ,0.15
ANZ,2834,0.15
2834,ANZ,0.15
ANZ,2835,0.15
2835,ANZ,0.15
ANZ,2836,0.15
2836,ANZ,0.15
ANZ,2837,0.15
2837,ANZ,0.15
ANZ,2838,0.15
2838,ANZ,0.15
ANZ,2839,0.15
2839,ANZ,0.15
ANZ,2840,0.15
2840,ANZ,0.15
ANZ,2841,0.15
2841,ANZ,0.15
ANZ,2842,0.15
2842,ANZ,0.15
ANZ,2843,0.15
2843,ANZ,0.15
ANZ,2844,0.15
2844,ANZ,0.15
ANZ,2845,0.15
2845,ANZ,0.15
ANZ,2846,0.15
2846,ANZ,0.15
ANZ,2847,0.15
2847,ANZ,0.15
ANZ,2848,0.15
2848,ANZ,0.15
ANZ,2849,0.15
2849,ANZ,0.15
ANZ,2850,0.15
2850,ANZ,0.15
ANZ,2851,0.15
2851,ANZ,0.15
ANZ,2852,0.15
2852,ANZ,0.15
ANZ,2853,0.15
2853,ANZ,0.15
ANZ,2854,0.15
2854,ANZ,0.15
ANZ,2855,0.15
2855,ANZ,0.15
ANZ,2856,0.15
2856,ANZ,0.15
ANZ,2857,0.15
2857,ANZ,0.15
ANZ,2858,0.15
2858,ANZ,0.15
ANZ,2859,0.15
2859,ANZ,0.15
ANZ,2860,0.15
2860,ANZ,0.15
ANZ,2861,0.15
2861,ANZ,0.15
ANZ,2862,0.15
2862,ANZ,0.15
ANZ,2863,0.15
2863,ANZ,0.15
ANZ,2864,0.15
2864,ANZ,0.15
ANZ,2865,0.15
2865,ANZ,0.15
ANZ,2866,0.15
2866,ANZ,0.15
ANZ,2867,0.15
2867,ANZ,0.15
ANZ,2868,0.15
2868,ANZ,0.15
ANZ,2869,0.15
2869,ANZ,0.15
ANZ,2870,0.15
2870,ANZ,0.15
ANZ,2871,0.15
2871,ANZ,0.15
ANZ,2872,0.15
2872,ANZ,0.15
ANZ,2873,0.15
2873,ANZ,0.15
ANZ,2874,0.15
2874,ANZ,0.15
ANZ,2875,0.15
2875,ANZ,0.15
ANZ,2876,0.15
2876,ANZ,0.15
ANZ,2877,0.15
2877,ANZ,0.15
ANZ,2878,0.15
2878,ANZ,0.15
ANZ,2879,0.15
2879,ANZ,0.15
ANZ,2880,0.15
2880,ANZ,0.15
ANZ,2881,0.15
2881,ANZ,0.15
ANZ,2882,0.15
2882,ANZ,0.15
ANZ,2883,0.15
2883,ANZ,0.15
ANZ,2884,0.15
2884,ANZ,0.15
ANZ,2885,0.15
2885,ANZ,0.15
ANZ,2886,0.15
2886,ANZ,0.15
ANZ,2887,0.15
2887,ANZ,0.15
ANZ,2888,0.15
2888,ANZ,0.15
ANZ,2889,0.15
2889,ANZ,0.15
ANZ,2890,0.15
2890,ANZ,0.15
ANZ,2891,0.15
2891,ANZ,0.15
ANZ,2892,0.15
2892,ANZ,0.15
ANZ,2893,0.15
2893,ANZ,0.15
ANZ,2894,0.15
2894,ANZ,0.15
ANZ,2895,0.15
2895,ANZ,0.15
ANZ,2896,0.15
2896,ANZ,0.15
ANZ,2897,0.15
2897,ANZ,0.15
ANZ,2898,0.15
2898,ANZ,0.15
ANZ,2899,0.15
2899,ANZ,0.15
ANZ,2900,0.15
2900,ANZ,0.15
ANZ,2901,0.15
2901,ANZ,0.15
ANZ,2902,0.15
2902,ANZ,0.15
ANZ,2903,0.15
2903,ANZ,0.15
ANZ,2904,0.15
2904,ANZ,0.15
ANZ,2905,0.15
2905,ANZ,0.15
ANZ,2906,0.15
2906,ANZ,0.15
ANZ,2907,0.15
2907,ANZ,0.15
ANZ,2908,0.15
2908,ANZ,0.15
ANZ,2909,0.15
2909,ANZ,0.15
ANZ,2910,0.15
2910,ANZ,0.15
ANZ,2911,0.15
2911,ANZ,0.15
ANZ,2912,0.15
2912,ANZ,0.15
ANZ,2913,0.15
2913,ANZ,0.15
ANZ,2914,0.15
2914,ANZ,0.15
ANZ,2915,0.15
2915,ANZ,0.15
ANZ,2916,0.15
2916,ANZ,0.15
ANZ,2917,0.15
2917,ANZ,0.15
ANZ,2918,0.15
2918,ANZ,0.15
ANZ,2919,0.15
2919,ANZ,0.15
ANZ,2920,0.15
2920,ANZ,0.15
ANZ,2921,0.15
2921,ANZ,0.15
ANZ,2922,0.15
2922,ANZ,0.15
ANZ,2923,0.15
2923,ANZ,0.15
ANZ,2924,0.15
2924,ANZ,0.15
ANZ,2925,0.15
2925,ANZ,0.15
ANZ,2926,0.15
2926,ANZ,0.15
ANZ,2927,0.15
