Region,gdp0
USA,1643.89944237
CAN,84.8224831391
WEU,1913.31508308
JPK,616.021980672
ANZ,119.057728115
EEU,87.9192108942
FSU,167.308878762
MDE,76.0649829671
CAM,40.5139010341
LAM,193.13852329
SAS,57.9713701148
SEA,25.6942546017
CHI,18.8014266052
MAF,13.4482462152
SSA,94.6859977635
SIS,6.82113737297
