Timestep,Region,pgrowth
USA,1950,1.666
1950,USA,1.666
USA,1951,1.666
1951,USA,1.666
USA,1952,1.666
1952,USA,1.666
USA,1953,1.666
1953,USA,1.666
USA,1954,1.666
1954,USA,1.666
USA,1955,1.666
1955,USA,1.666
USA,1956,1.666
1956,USA,1.666
USA,1957,1.666
1957,USA,1.666
USA,1958,1.666
1958,USA,1.666
USA,1959,1.666
1959,USA,1.666
USA,1960,1.218
1960,USA,1.218
USA,1961,1.218
1961,USA,1.218
USA,1962,1.218
1962,USA,1.218
USA,1963,1.218
1963,USA,1.218
USA,1964,1.218
1964,USA,1.218
USA,1965,1.218
1965,USA,1.218
USA,1966,1.218
1966,USA,1.218
USA,1967,1.218
1967,USA,1.218
USA,1968,1.218
1968,USA,1.218
USA,1969,1.218
1969,USA,1.218
USA,1970,0.926
1970,USA,0.926
USA,1971,0.926
1971,USA,0.926
USA,1972,0.926
1972,USA,0.926
USA,1973,0.926
1973,USA,0.926
USA,1974,0.926
1974,USA,0.926
USA,1975,0.926
1975,USA,0.926
USA,1976,0.926
1976,USA,0.926
USA,1977,0.926
1977,USA,0.926
USA,1978,0.926
1978,USA,0.926
USA,1979,0.926
1979,USA,0.926
USA,1980,0.983
1980,USA,0.983
USA,1981,0.983
1981,USA,0.983
USA,1982,0.983
1982,USA,0.983
USA,1983,0.983
1983,USA,0.983
USA,1984,0.983
1984,USA,0.983
USA,1985,0.983
1985,USA,0.983
USA,1986,0.983
1986,USA,0.983
USA,1987,0.983
1987,USA,0.983
USA,1988,0.983
1988,USA,0.983
USA,1989,0.983
1989,USA,0.983
USA,1990,0.999
1990,USA,0.999
USA,1991,0.999
1991,USA,0.999
USA,1992,0.999
1992,USA,0.999
USA,1993,0.999
1993,USA,0.999
USA,1994,0.999
1994,USA,0.999
USA,1995,0.835
1995,USA,0.835
USA,1996,0.835
1996,USA,0.835
USA,1997,0.835
1997,USA,0.835
USA,1998,0.835
1998,USA,0.835
USA,1999,0.835
1999,USA,0.835
USA,2000,0.782
2000,USA,0.782
USA,2001,0.729
2001,USA,0.729
USA,2002,0.676
2002,USA,0.676
USA,2003,0.622
2003,USA,0.622
USA,2004,0.569
2004,USA,0.569
USA,2005,0.516
2005,USA,0.516
USA,2006,0.463
2006,USA,0.463
USA,2007,0.41
2007,USA,0.41
USA,2008,0.356
2008,USA,0.356
USA,2009,0.303
2009,USA,0.303
USA,2010,0.25
2010,USA,0.25
USA,2011,0.23
2011,USA,0.23
USA,2012,0.21
2012,USA,0.21
USA,2013,0.19
2013,USA,0.19
USA,2014,0.17
2014,USA,0.17
USA,2015,0.15
2015,USA,0.15
USA,2016,0.13
2016,USA,0.13
USA,2017,0.11
2017,USA,0.11
USA,2018,0.09
2018,USA,0.09
USA,2019,0.07
2019,USA,0.07
USA,2020,0.05
2020,USA,0.05
USA,2021,0.045
2021,USA,0.045
USA,2022,0.04
2022,USA,0.04
USA,2023,0.035
2023,USA,0.035
USA,2024,0.03
2024,USA,0.03
USA,2025,0.025
2025,USA,0.025
USA,2026,0.02
2026,USA,0.02
USA,2027,0.015
2027,USA,0.015
USA,2028,0.01
2028,USA,0.01
USA,2029,0.005
2029,USA,0.005
USA,2030,0
2030,USA,0
USA,2031,0
2031,USA,0
USA,2032,0
2032,USA,0
USA,2033,0
2033,USA,0
USA,2034,0
2034,USA,0
USA,2035,0
2035,USA,0
USA,2036,0
2036,USA,0
USA,2037,0
2037,USA,0
USA,2038,0
2038,USA,0
USA,2039,0
2039,USA,0
USA,2040,0
2040,USA,0
USA,2041,-0.005
2041,USA,-0.005
USA,2042,-0.01
2042,USA,-0.01
USA,2043,-0.015
2043,USA,-0.015
USA,2044,-0.02
2044,USA,-0.02
USA,2045,-0.025
2045,USA,-0.025
USA,2046,-0.03
2046,USA,-0.03
USA,2047,-0.035
2047,USA,-0.035
USA,2048,-0.04
2048,USA,-0.04
USA,2049,-0.045
2049,USA,-0.045
USA,2050,-0.05
2050,USA,-0.05
USA,2051,-0.05
2051,USA,-0.05
USA,2052,-0.05
2052,USA,-0.05
USA,2053,-0.05
2053,USA,-0.05
USA,2054,-0.05
2054,USA,-0.05
USA,2055,-0.05
2055,USA,-0.05
USA,2056,-0.05
2056,USA,-0.05
USA,2057,-0.05
2057,USA,-0.05
USA,2058,-0.05
2058,USA,-0.05
USA,2059,-0.05
2059,USA,-0.05
USA,2060,-0.05
2060,USA,-0.05
USA,2061,-0.05
2061,USA,-0.05
USA,2062,-0.05
2062,USA,-0.05
USA,2063,-0.05
2063,USA,-0.05
USA,2064,-0.05
2064,USA,-0.05
USA,2065,-0.05
2065,USA,-0.05
USA,2066,-0.05
2066,USA,-0.05
USA,2067,-0.05
2067,USA,-0.05
USA,2068,-0.05
2068,USA,-0.05
USA,2069,-0.05
2069,USA,-0.05
USA,2070,-0.05
2070,USA,-0.05
USA,2071,-0.045
2071,USA,-0.045
USA,2072,-0.04
2072,USA,-0.04
USA,2073,-0.035
2073,USA,-0.035
USA,2074,-0.03
2074,USA,-0.03
USA,2075,-0.025
2075,USA,-0.025
USA,2076,-0.02
2076,USA,-0.02
USA,2077,-0.015
2077,USA,-0.015
USA,2078,-0.01
2078,USA,-0.01
USA,2079,-0.005
2079,USA,-0.005
USA,2080,0
2080,USA,0
USA,2081,0
2081,USA,0
USA,2082,0
2082,USA,0
USA,2083,0
2083,USA,0
USA,2084,0
2084,USA,0
USA,2085,0
2085,USA,0
USA,2086,0
2086,USA,0
USA,2087,0
2087,USA,0
USA,2088,0
2088,USA,0
USA,2089,0
2089,USA,0
USA,2090,0
2090,USA,0
USA,2091,0
2091,USA,0
USA,2092,0
2092,USA,0
USA,2093,0
2093,USA,0
USA,2094,0
2094,USA,0
USA,2095,0
2095,USA,0
USA,2096,0
2096,USA,0
USA,2097,0
2097,USA,0
USA,2098,0
2098,USA,0
USA,2099,0
2099,USA,0
USA,2100,0
2100,USA,0
USA,2101,0
2101,USA,0
USA,2102,0
2102,USA,0
USA,2103,0
2103,USA,0
USA,2104,0
2104,USA,0
USA,2105,0
2105,USA,0
USA,2106,0
2106,USA,0
USA,2107,0
2107,USA,0
USA,2108,0
2108,USA,0
USA,2109,0
2109,USA,0
USA,2110,0
2110,USA,0
USA,2111,0
2111,USA,0
USA,2112,0
2112,USA,0
USA,2113,0
2113,USA,0
USA,2114,0
2114,USA,0
USA,2115,0
2115,USA,0
USA,2116,0
2116,USA,0
USA,2117,0
2117,USA,0
USA,2118,0
2118,USA,0
USA,2119,0
2119,USA,0
USA,2120,0
2120,USA,0
USA,2121,0
2121,USA,0
USA,2122,0
2122,USA,0
USA,2123,0
2123,USA,0
USA,2124,0
2124,USA,0
USA,2125,0
2125,USA,0
USA,2126,0
2126,USA,0
USA,2127,0
2127,USA,0
USA,2128,0
2128,USA,0
USA,2129,0
2129,USA,0
USA,2130,0
2130,USA,0
USA,2131,0
2131,USA,0
USA,2132,0
2132,USA,0
USA,2133,0
2133,USA,0
USA,2134,0
2134,USA,0
USA,2135,0
2135,USA,0
USA,2136,0
2136,USA,0
USA,2137,0
2137,USA,0
USA,2138,0
2138,USA,0
USA,2139,0
2139,USA,0
USA,2140,0
2140,USA,0
USA,2141,0
2141,USA,0
USA,2142,0
2142,USA,0
USA,2143,0
2143,USA,0
USA,2144,0
2144,USA,0
USA,2145,0
2145,USA,0
USA,2146,0
2146,USA,0
USA,2147,0
2147,USA,0
USA,2148,0
2148,USA,0
USA,2149,0
2149,USA,0
USA,2150,0
2150,USA,0
USA,2151,0
2151,USA,0
USA,2152,0
2152,USA,0
USA,2153,0
2153,USA,0
USA,2154,0
2154,USA,0
USA,2155,0
2155,USA,0
USA,2156,0
2156,USA,0
USA,2157,0
2157,USA,0
USA,2158,0
2158,USA,0
USA,2159,0
2159,USA,0
USA,2160,0
2160,USA,0
USA,2161,0
2161,USA,0
USA,2162,0
2162,USA,0
USA,2163,0
2163,USA,0
USA,2164,0
2164,USA,0
USA,2165,0
2165,USA,0
USA,2166,0
2166,USA,0
USA,2167,0
2167,USA,0
USA,2168,0
2168,USA,0
USA,2169,0
2169,USA,0
USA,2170,0
2170,USA,0
USA,2171,0
2171,USA,0
USA,2172,0
2172,USA,0
USA,2173,0
2173,USA,0
USA,2174,0
2174,USA,0
USA,2175,0
2175,USA,0
USA,2176,0
2176,USA,0
USA,2177,0
2177,USA,0
USA,2178,0
2178,USA,0
USA,2179,0
2179,USA,0
USA,2180,0
2180,USA,0
USA,2181,0
2181,USA,0
USA,2182,0
2182,USA,0
USA,2183,0
2183,USA,0
USA,2184,0
2184,USA,0
USA,2185,0
2185,USA,0
USA,2186,0
2186,USA,0
USA,2187,0
2187,USA,0
USA,2188,0
2188,USA,0
USA,2189,0
2189,USA,0
USA,2190,0
2190,USA,0
USA,2191,0
2191,USA,0
USA,2192,0
2192,USA,0
USA,2193,0
2193,USA,0
USA,2194,0
2194,USA,0
USA,2195,0
2195,USA,0
USA,2196,0
2196,USA,0
USA,2197,0
2197,USA,0
USA,2198,0
2198,USA,0
USA,2199,0
2199,USA,0
USA,2200,0
2200,USA,0
USA,2201,0
2201,USA,0
USA,2202,0
2202,USA,0
USA,2203,0
2203,USA,0
USA,2204,0
2204,USA,0
USA,2205,0
2205,USA,0
USA,2206,0
2206,USA,0
USA,2207,0
2207,USA,0
USA,2208,0
2208,USA,0
USA,2209,0
2209,USA,0
USA,2210,0
2210,USA,0
USA,2211,0
2211,USA,0
USA,2212,0
2212,USA,0
USA,2213,0
2213,USA,0
USA,2214,0
2214,USA,0
USA,2215,0
2215,USA,0
USA,2216,0
2216,USA,0
USA,2217,0
2217,USA,0
USA,2218,0
2218,USA,0
USA,2219,0
2219,USA,0
USA,2220,0
2220,USA,0
USA,2221,0
2221,USA,0
USA,2222,0
2222,USA,0
USA,2223,0
2223,USA,0
USA,2224,0
2224,USA,0
USA,2225,0
2225,USA,0
USA,2226,0
2226,USA,0
USA,2227,0
2227,USA,0
USA,2228,0
2228,USA,0
USA,2229,0
2229,USA,0
USA,2230,0
2230,USA,0
USA,2231,0
2231,USA,0
USA,2232,0
2232,USA,0
USA,2233,0
2233,USA,0
USA,2234,0
2234,USA,0
USA,2235,0
2235,USA,0
USA,2236,0
2236,USA,0
USA,2237,0
2237,USA,0
USA,2238,0
2238,USA,0
USA,2239,0
2239,USA,0
USA,2240,0
2240,USA,0
USA,2241,0
2241,USA,0
USA,2242,0
2242,USA,0
USA,2243,0
2243,USA,0
USA,2244,0
2244,USA,0
USA,2245,0
2245,USA,0
USA,2246,0
2246,USA,0
USA,2247,0
2247,USA,0
USA,2248,0
2248,USA,0
USA,2249,0
2249,USA,0
USA,2250,0
2250,USA,0
USA,2251,0
2251,USA,0
USA,2252,0
2252,USA,0
USA,2253,0
2253,USA,0
USA,2254,0
2254,USA,0
USA,2255,0
2255,USA,0
USA,2256,0
2256,USA,0
USA,2257,0
2257,USA,0
USA,2258,0
2258,USA,0
USA,2259,0
2259,USA,0
USA,2260,0
2260,USA,0
USA,2261,0
2261,USA,0
USA,2262,0
2262,USA,0
USA,2263,0
2263,USA,0
USA,2264,0
2264,USA,0
USA,2265,0
2265,USA,0
USA,2266,0
2266,USA,0
USA,2267,0
2267,USA,0
USA,2268,0
2268,USA,0
USA,2269,0
2269,USA,0
USA,2270,0
2270,USA,0
USA,2271,0
2271,USA,0
USA,2272,0
2272,USA,0
USA,2273,0
2273,USA,0
USA,2274,0
2274,USA,0
USA,2275,0
2275,USA,0
USA,2276,0
2276,USA,0
USA,2277,0
2277,USA,0
USA,2278,0
2278,USA,0
USA,2279,0
2279,USA,0
USA,2280,0
2280,USA,0
USA,2281,0
2281,USA,0
USA,2282,0
2282,USA,0
USA,2283,0
2283,USA,0
USA,2284,0
2284,USA,0
USA,2285,0
2285,USA,0
USA,2286,0
2286,USA,0
USA,2287,0
2287,USA,0
USA,2288,0
2288,USA,0
USA,2289,0
2289,USA,0
USA,2290,0
2290,USA,0
USA,2291,0
2291,USA,0
USA,2292,0
2292,USA,0
USA,2293,0
2293,USA,0
USA,2294,0
2294,USA,0
USA,2295,0
2295,USA,0
USA,2296,0
2296,USA,0
USA,2297,0
2297,USA,0
USA,2298,0
2298,USA,0
USA,2299,0
2299,USA,0
USA,2300,0
2300,USA,0
USA,2301,0
2301,USA,0
USA,2302,0
2302,USA,0
USA,2303,0
2303,USA,0
USA,2304,0
2304,USA,0
USA,2305,0
2305,USA,0
USA,2306,0
2306,USA,0
USA,2307,0
2307,USA,0
USA,2308,0
2308,USA,0
USA,2309,0
2309,USA,0
USA,2310,0
2310,USA,0
USA,2311,0
2311,USA,0
USA,2312,0
2312,USA,0
USA,2313,0
2313,USA,0
USA,2314,0
2314,USA,0
USA,2315,0
2315,USA,0
USA,2316,0
2316,USA,0
USA,2317,0
2317,USA,0
USA,2318,0
2318,USA,0
USA,2319,0
2319,USA,0
USA,2320,0
2320,USA,0
USA,2321,0
2321,USA,0
USA,2322,0
2322,USA,0
USA,2323,0
2323,USA,0
USA,2324,0
2324,USA,0
USA,2325,0
2325,USA,0
USA,2326,0
2326,USA,0
USA,2327,0
2327,USA,0
USA,2328,0
2328,USA,0
USA,2329,0
2329,USA,0
USA,2330,0
2330,USA,0
USA,2331,0
2331,USA,0
USA,2332,0
2332,USA,0
USA,2333,0
2333,USA,0
USA,2334,0
2334,USA,0
USA,2335,0
2335,USA,0
USA,2336,0
2336,USA,0
USA,2337,0
2337,USA,0
USA,2338,0
2338,USA,0
USA,2339,0
2339,USA,0
USA,2340,0
2340,USA,0
USA,2341,0
2341,USA,0
USA,2342,0
2342,USA,0
USA,2343,0
2343,USA,0
USA,2344,0
2344,USA,0
USA,2345,0
2345,USA,0
USA,2346,0
2346,USA,0
USA,2347,0
2347,USA,0
USA,2348,0
2348,USA,0
USA,2349,0
2349,USA,0
USA,2350,0
2350,USA,0
USA,2351,0
2351,USA,0
USA,2352,0
2352,USA,0
USA,2353,0
2353,USA,0
USA,2354,0
2354,USA,0
USA,2355,0
2355,USA,0
USA,2356,0
2356,USA,0
USA,2357,0
2357,USA,0
USA,2358,0
2358,USA,0
USA,2359,0
2359,USA,0
USA,2360,0
2360,USA,0
USA,2361,0
2361,USA,0
USA,2362,0
2362,USA,0
USA,2363,0
2363,USA,0
USA,2364,0
2364,USA,0
USA,2365,0
2365,USA,0
USA,2366,0
2366,USA,0
USA,2367,0
2367,USA,0
USA,2368,0
2368,USA,0
USA,2369,0
2369,USA,0
USA,2370,0
2370,USA,0
USA,2371,0
2371,USA,0
USA,2372,0
2372,USA,0
USA,2373,0
2373,USA,0
USA,2374,0
2374,USA,0
USA,2375,0
2375,USA,0
USA,2376,0
2376,USA,0
USA,2377,0
2377,USA,0
USA,2378,0
2378,USA,0
USA,2379,0
2379,USA,0
USA,2380,0
2380,USA,0
USA,2381,0
2381,USA,0
USA,2382,0
2382,USA,0
USA,2383,0
2383,USA,0
USA,2384,0
2384,USA,0
USA,2385,0
2385,USA,0
USA,2386,0
2386,USA,0
USA,2387,0
2387,USA,0
USA,2388,0
2388,USA,0
USA,2389,0
2389,USA,0
USA,2390,0
2390,USA,0
USA,2391,0
2391,USA,0
USA,2392,0
2392,USA,0
USA,2393,0
2393,USA,0
USA,2394,0
2394,USA,0
USA,2395,0
2395,USA,0
USA,2396,0
2396,USA,0
USA,2397,0
2397,USA,0
USA,2398,0
2398,USA,0
USA,2399,0
2399,USA,0
USA,2400,0
2400,USA,0
USA,2401,0
2401,USA,0
USA,2402,0
2402,USA,0
USA,2403,0
2403,USA,0
USA,2404,0
2404,USA,0
USA,2405,0
2405,USA,0
USA,2406,0
2406,USA,0
USA,2407,0
2407,USA,0
USA,2408,0
2408,USA,0
USA,2409,0
2409,USA,0
USA,2410,0
2410,USA,0
USA,2411,0
2411,USA,0
USA,2412,0
2412,USA,0
USA,2413,0
2413,USA,0
USA,2414,0
2414,USA,0
USA,2415,0
2415,USA,0
USA,2416,0
2416,USA,0
USA,2417,0
2417,USA,0
USA,2418,0
2418,USA,0
USA,2419,0
2419,USA,0
USA,2420,0
2420,USA,0
USA,2421,0
2421,USA,0
USA,2422,0
2422,USA,0
USA,2423,0
2423,USA,0
USA,2424,0
2424,USA,0
USA,2425,0
2425,USA,0
USA,2426,0
2426,USA,0
USA,2427,0
2427,USA,0
USA,2428,0
2428,USA,0
USA,2429,0
2429,USA,0
USA,2430,0
2430,USA,0
USA,2431,0
2431,USA,0
USA,2432,0
2432,USA,0
USA,2433,0
2433,USA,0
USA,2434,0
2434,USA,0
USA,2435,0
2435,USA,0
USA,2436,0
2436,USA,0
USA,2437,0
2437,USA,0
USA,2438,0
2438,USA,0
USA,2439,0
2439,USA,0
USA,2440,0
2440,USA,0
USA,2441,0
2441,USA,0
USA,2442,0
2442,USA,0
USA,2443,0
2443,USA,0
USA,2444,0
2444,USA,0
USA,2445,0
2445,USA,0
USA,2446,0
2446,USA,0
USA,2447,0
2447,USA,0
USA,2448,0
2448,USA,0
USA,2449,0
2449,USA,0
USA,2450,0
2450,USA,0
USA,2451,0
2451,USA,0
USA,2452,0
2452,USA,0
USA,2453,0
2453,USA,0
USA,2454,0
2454,USA,0
USA,2455,0
2455,USA,0
USA,2456,0
2456,USA,0
USA,2457,0
2457,USA,0
USA,2458,0
2458,USA,0
USA,2459,0
2459,USA,0
USA,2460,0
2460,USA,0
USA,2461,0
2461,USA,0
USA,2462,0
2462,USA,0
USA,2463,0
2463,USA,0
USA,2464,0
2464,USA,0
USA,2465,0
2465,USA,0
USA,2466,0
2466,USA,0
USA,2467,0
2467,USA,0
USA,2468,0
2468,USA,0
USA,2469,0
2469,USA,0
USA,2470,0
2470,USA,0
USA,2471,0
2471,USA,0
USA,2472,0
2472,USA,0
USA,2473,0
2473,USA,0
USA,2474,0
2474,USA,0
USA,2475,0
2475,USA,0
USA,2476,0
2476,USA,0
USA,2477,0
2477,USA,0
USA,2478,0
2478,USA,0
USA,2479,0
2479,USA,0
USA,2480,0
2480,USA,0
USA,2481,0
2481,USA,0
USA,2482,0
2482,USA,0
USA,2483,0
2483,USA,0
USA,2484,0
2484,USA,0
USA,2485,0
2485,USA,0
USA,2486,0
2486,USA,0
USA,2487,0
2487,USA,0
USA,2488,0
2488,USA,0
USA,2489,0
2489,USA,0
USA,2490,0
2490,USA,0
USA,2491,0
2491,USA,0
USA,2492,0
2492,USA,0
USA,2493,0
2493,USA,0
USA,2494,0
2494,USA,0
USA,2495,0
2495,USA,0
USA,2496,0
2496,USA,0
USA,2497,0
2497,USA,0
USA,2498,0
2498,USA,0
USA,2499,0
2499,USA,0
USA,2500,0
2500,USA,0
USA,2501,0
2501,USA,0
USA,2502,0
2502,USA,0
USA,2503,0
2503,USA,0
USA,2504,0
2504,USA,0
USA,2505,0
2505,USA,0
USA,2506,0
2506,USA,0
USA,2507,0
2507,USA,0
USA,2508,0
2508,USA,0
USA,2509,0
2509,USA,0
USA,2510,0
2510,USA,0
USA,2511,0
2511,USA,0
USA,2512,0
2512,USA,0
USA,2513,0
2513,USA,0
USA,2514,0
2514,USA,0
USA,2515,0
2515,USA,0
USA,2516,0
2516,USA,0
USA,2517,0
2517,USA,0
USA,2518,0
2518,USA,0
USA,2519,0
2519,USA,0
USA,2520,0
2520,USA,0
USA,2521,0
2521,USA,0
USA,2522,0
2522,USA,0
USA,2523,0
2523,USA,0
USA,2524,0
2524,USA,0
USA,2525,0
2525,USA,0
USA,2526,0
2526,USA,0
USA,2527,0
2527,USA,0
USA,2528,0
2528,USA,0
USA,2529,0
2529,USA,0
USA,2530,0
2530,USA,0
USA,2531,0
2531,USA,0
USA,2532,0
2532,USA,0
USA,2533,0
2533,USA,0
USA,2534,0
2534,USA,0
USA,2535,0
2535,USA,0
USA,2536,0
2536,USA,0
USA,2537,0
2537,USA,0
USA,2538,0
2538,USA,0
USA,2539,0
2539,USA,0
USA,2540,0
2540,USA,0
USA,2541,0
2541,USA,0
USA,2542,0
2542,USA,0
USA,2543,0
2543,USA,0
USA,2544,0
2544,USA,0
USA,2545,0
2545,USA,0
USA,2546,0
2546,USA,0
USA,2547,0
2547,USA,0
USA,2548,0
2548,USA,0
USA,2549,0
2549,USA,0
USA,2550,0
2550,USA,0
USA,2551,0
2551,USA,0
USA,2552,0
2552,USA,0
USA,2553,0
2553,USA,0
USA,2554,0
2554,USA,0
USA,2555,0
2555,USA,0
USA,2556,0
2556,USA,0
USA,2557,0
2557,USA,0
USA,2558,0
2558,USA,0
USA,2559,0
2559,USA,0
USA,2560,0
2560,USA,0
USA,2561,0
2561,USA,0
USA,2562,0
2562,USA,0
USA,2563,0
2563,USA,0
USA,2564,0
2564,USA,0
USA,2565,0
2565,USA,0
USA,2566,0
2566,USA,0
USA,2567,0
2567,USA,0
USA,2568,0
2568,USA,0
USA,2569,0
2569,USA,0
USA,2570,0
2570,USA,0
USA,2571,0
2571,USA,0
USA,2572,0
2572,USA,0
USA,2573,0
2573,USA,0
USA,2574,0
2574,USA,0
USA,2575,0
2575,USA,0
USA,2576,0
2576,USA,0
USA,2577,0
2577,USA,0
USA,2578,0
2578,USA,0
USA,2579,0
2579,USA,0
USA,2580,0
2580,USA,0
USA,2581,0
2581,USA,0
USA,2582,0
2582,USA,0
USA,2583,0
2583,USA,0
USA,2584,0
2584,USA,0
USA,2585,0
2585,USA,0
USA,2586,0
2586,USA,0
USA,2587,0
2587,USA,0
USA,2588,0
2588,USA,0
USA,2589,0
2589,USA,0
USA,2590,0
2590,USA,0
USA,2591,0
2591,USA,0
USA,2592,0
2592,USA,0
USA,2593,0
2593,USA,0
USA,2594,0
2594,USA,0
USA,2595,0
2595,USA,0
USA,2596,0
2596,USA,0
USA,2597,0
2597,USA,0
USA,2598,0
2598,USA,0
USA,2599,0
2599,USA,0
USA,2600,0
2600,USA,0
USA,2601,0
2601,USA,0
USA,2602,0
2602,USA,0
USA,2603,0
2603,USA,0
USA,2604,0
2604,USA,0
USA,2605,0
2605,USA,0
USA,2606,0
2606,USA,0
USA,2607,0
2607,USA,0
USA,2608,0
2608,USA,0
USA,2609,0
2609,USA,0
USA,2610,0
2610,USA,0
USA,2611,0
2611,USA,0
USA,2612,0
2612,USA,0
USA,2613,0
2613,USA,0
USA,2614,0
2614,USA,0
USA,2615,0
2615,USA,0
USA,2616,0
2616,USA,0
USA,2617,0
2617,USA,0
USA,2618,0
2618,USA,0
USA,2619,0
2619,USA,0
USA,2620,0
2620,USA,0
USA,2621,0
2621,USA,0
USA,2622,0
2622,USA,0
USA,2623,0
2623,USA,0
USA,2624,0
2624,USA,0
USA,2625,0
2625,USA,0
USA,2626,0
2626,USA,0
USA,2627,0
2627,USA,0
USA,2628,0
2628,USA,0
USA,2629,0
2629,USA,0
USA,2630,0
2630,USA,0
USA,2631,0
2631,USA,0
USA,2632,0
2632,USA,0
USA,2633,0
2633,USA,0
USA,2634,0
2634,USA,0
USA,2635,0
2635,USA,0
USA,2636,0
2636,USA,0
USA,2637,0
2637,USA,0
USA,2638,0
2638,USA,0
USA,2639,0
2639,USA,0
USA,2640,0
2640,USA,0
USA,2641,0
2641,USA,0
USA,2642,0
2642,USA,0
USA,2643,0
2643,USA,0
USA,2644,0
2644,USA,0
USA,2645,0
2645,USA,0
USA,2646,0
2646,USA,0
USA,2647,0
2647,USA,0
USA,2648,0
2648,USA,0
USA,2649,0
2649,USA,0
USA,2650,0
2650,USA,0
USA,2651,0
2651,USA,0
USA,2652,0
2652,USA,0
USA,2653,0
2653,USA,0
USA,2654,0
2654,USA,0
USA,2655,0
2655,USA,0
USA,2656,0
2656,USA,0
USA,2657,0
2657,USA,0
USA,2658,0
2658,USA,0
USA,2659,0
2659,USA,0
USA,2660,0
2660,USA,0
USA,2661,0
2661,USA,0
USA,2662,0
2662,USA,0
USA,2663,0
2663,USA,0
USA,2664,0
2664,USA,0
USA,2665,0
2665,USA,0
USA,2666,0
2666,USA,0
USA,2667,0
2667,USA,0
USA,2668,0
2668,USA,0
USA,2669,0
2669,USA,0
USA,2670,0
2670,USA,0
USA,2671,0
2671,USA,0
USA,2672,0
2672,USA,0
USA,2673,0
2673,USA,0
USA,2674,0
2674,USA,0
USA,2675,0
2675,USA,0
USA,2676,0
2676,USA,0
USA,2677,0
2677,USA,0
USA,2678,0
2678,USA,0
USA,2679,0
2679,USA,0
USA,2680,0
2680,USA,0
USA,2681,0
2681,USA,0
USA,2682,0
2682,USA,0
USA,2683,0
2683,USA,0
USA,2684,0
2684,USA,0
USA,2685,0
2685,USA,0
USA,2686,0
2686,USA,0
USA,2687,0
2687,USA,0
USA,2688,0
2688,USA,0
USA,2689,0
2689,USA,0
USA,2690,0
2690,USA,0
USA,2691,0
2691,USA,0
USA,2692,0
2692,USA,0
USA,2693,0
2693,USA,0
USA,2694,0
2694,USA,0
USA,2695,0
2695,USA,0
USA,2696,0
2696,USA,0
USA,2697,0
2697,USA,0
USA,2698,0
2698,USA,0
USA,2699,0
2699,USA,0
USA,2700,0
2700,USA,0
USA,2701,0
2701,USA,0
USA,2702,0
2702,USA,0
USA,2703,0
2703,USA,0
USA,2704,0
2704,USA,0
USA,2705,0
2705,USA,0
USA,2706,0
2706,USA,0
USA,2707,0
2707,USA,0
USA,2708,0
2708,USA,0
USA,2709,0
2709,USA,0
USA,2710,0
2710,USA,0
USA,2711,0
2711,USA,0
USA,2712,0
2712,USA,0
USA,2713,0
2713,USA,0
USA,2714,0
2714,USA,0
USA,2715,0
2715,USA,0
USA,2716,0
2716,USA,0
USA,2717,0
2717,USA,0
USA,2718,0
2718,USA,0
USA,2719,0
2719,USA,0
USA,2720,0
2720,USA,0
USA,2721,0
2721,USA,0
USA,2722,0
2722,USA,0
USA,2723,0
2723,USA,0
USA,2724,0
2724,USA,0
USA,2725,0
2725,USA,0
USA,2726,0
2726,USA,0
USA,2727,0
2727,USA,0
USA,2728,0
2728,USA,0
USA,2729,0
2729,USA,0
USA,2730,0
2730,USA,0
USA,2731,0
2731,USA,0
USA,2732,0
2732,USA,0
USA,2733,0
2733,USA,0
USA,2734,0
2734,USA,0
USA,2735,0
2735,USA,0
USA,2736,0
2736,USA,0
USA,2737,0
2737,USA,0
USA,2738,0
2738,USA,0
USA,2739,0
2739,USA,0
USA,2740,0
2740,USA,0
USA,2741,0
2741,USA,0
USA,2742,0
2742,USA,0
USA,2743,0
2743,USA,0
USA,2744,0
2744,USA,0
USA,2745,0
2745,USA,0
USA,2746,0
2746,USA,0
USA,2747,0
2747,USA,0
USA,2748,0
2748,USA,0
USA,2749,0
2749,USA,0
USA,2750,0
2750,USA,0
USA,2751,0
2751,USA,0
USA,2752,0
2752,USA,0
USA,2753,0
2753,USA,0
USA,2754,0
2754,USA,0
USA,2755,0
2755,USA,0
USA,2756,0
2756,USA,0
USA,2757,0
2757,USA,0
USA,2758,0
2758,USA,0
USA,2759,0
2759,USA,0
USA,2760,0
2760,USA,0
USA,2761,0
2761,USA,0
USA,2762,0
2762,USA,0
USA,2763,0
2763,USA,0
USA,2764,0
2764,USA,0
USA,2765,0
2765,USA,0
USA,2766,0
2766,USA,0
USA,2767,0
2767,USA,0
USA,2768,0
2768,USA,0
USA,2769,0
2769,USA,0
USA,2770,0
2770,USA,0
USA,2771,0
2771,USA,0
USA,2772,0
2772,USA,0
USA,2773,0
2773,USA,0
USA,2774,0
2774,USA,0
USA,2775,0
2775,USA,0
USA,2776,0
2776,USA,0
USA,2777,0
2777,USA,0
USA,2778,0
2778,USA,0
USA,2779,0
2779,USA,0
USA,2780,0
2780,USA,0
USA,2781,0
2781,USA,0
USA,2782,0
2782,USA,0
USA,2783,0
2783,USA,0
USA,2784,0
2784,USA,0
USA,2785,0
2785,USA,0
USA,2786,0
2786,USA,0
USA,2787,0
2787,USA,0
USA,2788,0
2788,USA,0
USA,2789,0
