,hurrbasedead
USA,0.000390601570796675
CAN,4.860799959798587e-06
WEU,2.126235478360666e-06
JPK,0.0005433975945888898
ANZ,6.684067341493954e-05
EEU,0
FSU,7.09182566979657e-06
MDE,1.393123542195722e-06
CAM,0.008219674198558052
LAM,2.367027234447423e-05
SAS,0.00691678053157295
SEA,0.0023981492889933796
CHI,0.0002867673631848076
MAF,0
SSA,0.00014392051653568802
SIS,0.004914544558824955
