Timestep,Region,ch4em
2112,USA,58.6
USA,2113,58.9
2113,USA,58.9
USA,2114,59.1
2114,USA,59.1
USA,2115,59.3
2115,USA,59.3
USA,2116,59.6
2116,USA,59.6
USA,2117,59.8
2117,USA,59.8
USA,2118,60
2118,USA,60
USA,2119,60.3
2119,USA,60.3
USA,2120,60.5
2120,USA,60.5
USA,2121,60.7
2121,USA,60.7
USA,2122,61
2122,USA,61
USA,2123,61.2
2123,USA,61.2
USA,2124,61.5
2124,USA,61.5
USA,2125,61.7
2125,USA,61.7
USA,2126,61.9
2126,USA,61.9
USA,2127,62.2
2127,USA,62.2
USA,2128,62.4
2128,USA,62.4
USA,2129,62.6
2129,USA,62.6
USA,2130,62.9
2130,USA,62.9
USA,2131,63.1
2131,USA,63.1
USA,2132,63.3
2132,USA,63.3
USA,2133,63.6
2133,USA,63.6
USA,2134,63.8
2134,USA,63.8
USA,2135,64.1
2135,USA,64.1
USA,2136,64.3
2136,USA,64.3
USA,2137,64.5
2137,USA,64.5
USA,2138,64.8
2138,USA,64.8
USA,2139,65
2139,USA,65
USA,2140,65.2
2140,USA,65.2
USA,2141,65.5
2141,USA,65.5
USA,2142,65.7
2142,USA,65.7
USA,2143,65.9
2143,USA,65.9
USA,2144,66.2
2144,USA,66.2
USA,2145,66.4
2145,USA,66.4
USA,2146,66.7
2146,USA,66.7
USA,2147,66.9
2147,USA,66.9
USA,2148,67.1
2148,USA,67.1
USA,2149,67.4
2149,USA,67.4
USA,2150,67.6
2150,USA,67.6
USA,2151,67.8
2151,USA,67.8
USA,2152,68.1
2152,USA,68.1
USA,2153,68.3
2153,USA,68.3
USA,2154,68.5
2154,USA,68.5
USA,2155,68.8
2155,USA,68.8
USA,2156,69
2156,USA,69
USA,2157,69.2
2157,USA,69.2
USA,2158,69.5
2158,USA,69.5
USA,2159,69.7
2159,USA,69.7
USA,2160,70
2160,USA,70
USA,2161,70.2
2161,USA,70.2
USA,2162,70.4
2162,USA,70.4
USA,2163,70.7
2163,USA,70.7
USA,2164,70.9
2164,USA,70.9
USA,2165,71.1
2165,USA,71.1
USA,2166,71.4
2166,USA,71.4
USA,2167,71.6
2167,USA,71.6
USA,2168,71.8
2168,USA,71.8
USA,2169,72.1
2169,USA,72.1
USA,2170,72.3
2170,USA,72.3
USA,2171,72.6
2171,USA,72.6
USA,2172,72.8
2172,USA,72.8
USA,2173,73
2173,USA,73
USA,2174,73.3
2174,USA,73.3
USA,2175,73.5
2175,USA,73.5
USA,2176,73.7
2176,USA,73.7
USA,2177,74
2177,USA,74
USA,2178,74.2
2178,USA,74.2
USA,2179,74.4
2179,USA,74.4
USA,2180,74.7
2180,USA,74.7
USA,2181,74.9
2181,USA,74.9
USA,2182,75.2
2182,USA,75.2
USA,2183,75.4
2183,USA,75.4
USA,2184,75.6
2184,USA,75.6
USA,2185,75.9
2185,USA,75.9
USA,2186,76.1
2186,USA,76.1
USA,2187,76.3
2187,USA,76.3
USA,2188,76.6
2188,USA,76.6
USA,2189,76.8
2189,USA,76.8
USA,2190,77
2190,USA,77
USA,2191,77.3
2191,USA,77.3
USA,2192,77.5
2192,USA,77.5
USA,2193,77.7
2193,USA,77.7
USA,2194,78
2194,USA,78
USA,2195,78.2
2195,USA,78.2
USA,2196,78.5
2196,USA,78.5
USA,2197,78.7
2197,USA,78.7
USA,2198,78.9
2198,USA,78.9
USA,2199,79.2
2199,USA,79.2
USA,2200,79.4
2200,USA,79.4
USA,2201,79.7
2201,USA,79.7
USA,2202,80.1
2202,USA,80.1
USA,2203,80.4
2203,USA,80.4
USA,2204,80.7
2204,USA,80.7
USA,2205,81.1
2205,USA,81.1
USA,2206,81.4
2206,USA,81.4
USA,2207,81.8
2207,USA,81.8
USA,2208,82.1
2208,USA,82.1
USA,2209,82.4
2209,USA,82.4
USA,2210,82.8
2210,USA,82.8
USA,2211,83.1
2211,USA,83.1
USA,2212,83.4
2212,USA,83.4
USA,2213,83.8
2213,USA,83.8
USA,2214,84.1
2214,USA,84.1
USA,2215,84.4
2215,USA,84.4
USA,2216,84.8
2216,USA,84.8
USA,2217,85.1
2217,USA,85.1
USA,2218,85.4
2218,USA,85.4
USA,2219,85.8
2219,USA,85.8
USA,2220,86.1
2220,USA,86.1
USA,2221,86.5
2221,USA,86.5
USA,2222,86.8
2222,USA,86.8
USA,2223,87.1
2223,USA,87.1
USA,2224,87.5
2224,USA,87.5
USA,2225,87.8
2225,USA,87.8
USA,2226,88.1
2226,USA,88.1
USA,2227,88.5
2227,USA,88.5
USA,2228,88.8
2228,USA,88.8
USA,2229,89.1
2229,USA,89.1
USA,2230,89.5
2230,USA,89.5
USA,2231,89.8
2231,USA,89.8
USA,2232,90.1
2232,USA,90.1
USA,2233,90.5
2233,USA,90.5
USA,2234,90.8
2234,USA,90.8
USA,2235,91.2
2235,USA,91.2
USA,2236,91.5
2236,USA,91.5
USA,2237,91.8
2237,USA,91.8
USA,2238,92.2
2238,USA,92.2
USA,2239,92.5
2239,USA,92.5
USA,2240,92.8
2240,USA,92.8
USA,2241,93.2
2241,USA,93.2
USA,2242,93.5
2242,USA,93.5
USA,2243,93.8
2243,USA,93.8
USA,2244,94.2
2244,USA,94.2
USA,2245,94.5
2245,USA,94.5
USA,2246,94.8
2246,USA,94.8
USA,2247,95.2
2247,USA,95.2
USA,2248,95.5
2248,USA,95.5
USA,2249,95.9
2249,USA,95.9
USA,2250,96.2
2250,USA,96.2
USA,2251,96.5
2251,USA,96.5
USA,2252,96.9
2252,USA,96.9
USA,2253,97.2
2253,USA,97.2
USA,2254,97.5
2254,USA,97.5
USA,2255,97.9
2255,USA,97.9
USA,2256,98.2
2256,USA,98.2
USA,2257,98.5
2257,USA,98.5
USA,2258,98.9
2258,USA,98.9
USA,2259,99.2
2259,USA,99.2
USA,2260,99.5
2260,USA,99.5
USA,2261,99.9
2261,USA,99.9
USA,2262,100.2
2262,USA,100.2
USA,2263,100.6
2263,USA,100.6
USA,2264,100.9
2264,USA,100.9
USA,2265,101.2
2265,USA,101.2
USA,2266,101.6
2266,USA,101.6
USA,2267,101.9
2267,USA,101.9
USA,2268,102.2
2268,USA,102.2
USA,2269,102.6
2269,USA,102.6
USA,2270,102.9
2270,USA,102.9
USA,2271,103.2
2271,USA,103.2
USA,2272,103.6
2272,USA,103.6
USA,2273,103.9
2273,USA,103.9
USA,2274,104.3
2274,USA,104.3
USA,2275,104.6
2275,USA,104.6
USA,2276,104.9
2276,USA,104.9
USA,2277,105.3
2277,USA,105.3
USA,2278,105.6
2278,USA,105.6
USA,2279,105.9
2279,USA,105.9
USA,2280,106.3
2280,USA,106.3
USA,2281,106.6
2281,USA,106.6
USA,2282,106.9
2282,USA,106.9
USA,2283,107.3
2283,USA,107.3
USA,2284,107.6
2284,USA,107.6
USA,2285,107.9
2285,USA,107.9
USA,2286,108.3
