Timestep,Region,ch4em
2921,WEU,47.6
WEU,2922,47.6
2922,WEU,47.6
WEU,2923,47.6
2923,WEU,47.6
WEU,2924,47.6
2924,WEU,47.6
WEU,2925,47.6
2925,WEU,47.6
WEU,2926,47.6
2926,WEU,47.6
WEU,2927,47.6
2927,WEU,47.6
WEU,2928,47.6
2928,WEU,47.6
WEU,2929,47.6
2929,WEU,47.6
WEU,2930,47.6
2930,WEU,47.6
WEU,2931,47.6
2931,WEU,47.6
WEU,2932,47.6
2932,WEU,47.6
WEU,2933,47.6
2933,WEU,47.6
WEU,2934,47.6
2934,WEU,47.6
WEU,2935,47.6
2935,WEU,47.6
WEU,2936,47.6
2936,WEU,47.6
WEU,2937,47.6
2937,WEU,47.6
WEU,2938,47.6
2938,WEU,47.6
WEU,2939,47.6
2939,WEU,47.6
WEU,2940,47.6
2940,WEU,47.6
WEU,2941,47.6
2941,WEU,47.6
WEU,2942,47.6
2942,WEU,47.6
WEU,2943,47.6
2943,WEU,47.6
WEU,2944,47.6
2944,WEU,47.6
WEU,2945,47.6
2945,WEU,47.6
WEU,2946,47.6
2946,WEU,47.6
WEU,2947,47.6
2947,WEU,47.6
WEU,2948,47.6
2948,WEU,47.6
WEU,2949,47.6
2949,WEU,47.6
WEU,2950,47.6
2950,WEU,47.6
WEU,2951,47.6
2951,WEU,47.6
WEU,2952,47.6
2952,WEU,47.6
WEU,2953,47.6
2953,WEU,47.6
WEU,2954,47.6
2954,WEU,47.6
WEU,2955,47.6
2955,WEU,47.6
WEU,2956,47.6
2956,WEU,47.6
WEU,2957,47.6
2957,WEU,47.6
WEU,2958,47.6
2958,WEU,47.6
WEU,2959,47.6
2959,WEU,47.6
WEU,2960,47.6
2960,WEU,47.6
WEU,2961,47.6
2961,WEU,47.6
WEU,2962,47.6
2962,WEU,47.6
WEU,2963,47.6
2963,WEU,47.6
WEU,2964,47.6
2964,WEU,47.6
WEU,2965,47.6
2965,WEU,47.6
WEU,2966,47.6
2966,WEU,47.6
WEU,2967,47.6
2967,WEU,47.6
WEU,2968,47.6
2968,WEU,47.6
WEU,2969,47.6
2969,WEU,47.6
WEU,2970,47.6
2970,WEU,47.6
WEU,2971,47.6
2971,WEU,47.6
WEU,2972,47.6
2972,WEU,47.6
WEU,2973,47.6
2973,WEU,47.6
WEU,2974,47.6
2974,WEU,47.6
WEU,2975,47.6
2975,WEU,47.6
WEU,2976,47.6
2976,WEU,47.6
WEU,2977,47.6
2977,WEU,47.6
WEU,2978,47.6
2978,WEU,47.6
WEU,2979,47.6
2979,WEU,47.6
WEU,2980,47.6
2980,WEU,47.6
WEU,2981,47.6
2981,WEU,47.6
WEU,2982,47.6
2982,WEU,47.6
WEU,2983,47.6
2983,WEU,47.6
WEU,2984,47.6
2984,WEU,47.6
WEU,2985,47.6
2985,WEU,47.6
WEU,2986,47.6
2986,WEU,47.6
WEU,2987,47.6
2987,WEU,47.6
WEU,2988,47.6
2988,WEU,47.6
WEU,2989,47.6
2989,WEU,47.6
WEU,2990,47.6
2990,WEU,47.6
WEU,2991,47.6
2991,WEU,47.6
WEU,2992,47.6
2992,WEU,47.6
WEU,2993,47.6
2993,WEU,47.6
WEU,2994,47.6
2994,WEU,47.6
WEU,2995,47.6
2995,WEU,47.6
WEU,2996,47.6
2996,WEU,47.6
WEU,2997,47.6
2997,WEU,47.6
WEU,2998,47.6
2998,WEU,47.6
WEU,2999,47.6
2999,WEU,47.6
WEU,3000,47.6
3000,WEU,47.6
JPK,1950,1.7
1950,JPK,1.7
JPK,1951,1.7
1951,JPK,1.7
JPK,1952,1.7
1952,JPK,1.7
JPK,1953,1.7
1953,JPK,1.7
JPK,1954,1.7
1954,JPK,1.7
JPK,1955,1.8
1955,JPK,1.8
JPK,1956,1.8
1956,JPK,1.8
JPK,1957,1.8
1957,JPK,1.8
JPK,1958,1.8
1958,JPK,1.8
JPK,1959,1.8
1959,JPK,1.8
JPK,1960,2.2
1960,JPK,2.2
JPK,1961,2.2
1961,JPK,2.2
JPK,1962,2.2
1962,JPK,2.2
JPK,1963,2.3
1963,JPK,2.3
JPK,1964,2.3
1964,JPK,2.3
JPK,1965,2.4
1965,JPK,2.4
JPK,1966,2.4
1966,JPK,2.4
JPK,1967,2.5
1967,JPK,2.5
JPK,1968,2.5
1968,JPK,2.5
JPK,1969,2.5
1969,JPK,2.5
JPK,1970,2.6
1970,JPK,2.6
JPK,1971,2.6
1971,JPK,2.6
JPK,1972,2.7
1972,JPK,2.7
JPK,1973,2.7
1973,JPK,2.7
JPK,1974,2.8
1974,JPK,2.8
JPK,1975,2.8
1975,JPK,2.8
JPK,1976,2.8
1976,JPK,2.8
JPK,1977,2.9
1977,JPK,2.9
JPK,1978,2.9
1978,JPK,2.9
JPK,1979,3
1979,JPK,3
JPK,1980,3
1980,JPK,3
JPK,1981,3.1
1981,JPK,3.1
JPK,1982,3.1
1982,JPK,3.1
JPK,1983,3.1
1983,JPK,3.1
JPK,1984,3.2
1984,JPK,3.2
JPK,1985,3.2
1985,JPK,3.2
JPK,1986,3.3
1986,JPK,3.3
JPK,1987,3.3
1987,JPK,3.3
JPK,1988,3.4
1988,JPK,3.4
JPK,1989,3.4
1989,JPK,3.4
JPK,1990,3.4
1990,JPK,3.4
JPK,1991,3.4
1991,JPK,3.4
JPK,1992,3.3
1992,JPK,3.3
JPK,1993,3.3
1993,JPK,3.3
JPK,1994,3.2
1994,JPK,3.2
JPK,1995,3.2
1995,JPK,3.2
JPK,1996,3.1
1996,JPK,3.1
JPK,1997,3
1997,JPK,3
JPK,1998,3
1998,JPK,3
JPK,1999,2.9
1999,JPK,2.9
JPK,2000,2.8
2000,JPK,2.8
JPK,2001,2.9
2001,JPK,2.9
JPK,2002,2.9
2002,JPK,2.9
JPK,2003,2.9
2003,JPK,2.9
JPK,2004,2.9
2004,JPK,2.9
JPK,2005,3
2005,JPK,3
JPK,2006,3
2006,JPK,3
JPK,2007,3
2007,JPK,3
JPK,2008,3
2008,JPK,3
JPK,2009,3.1
2009,JPK,3.1
JPK,2010,3.1
2010,JPK,3.1
JPK,2011,3.1
2011,JPK,3.1
JPK,2012,3.1
2012,JPK,3.1
JPK,2013,3.1
2013,JPK,3.1
JPK,2014,3.1
2014,JPK,3.1
JPK,2015,3.1
2015,JPK,3.1
JPK,2016,3.1
2016,JPK,3.1
JPK,2017,3.1
2017,JPK,3.1
JPK,2018,3.1
2018,JPK,3.1
JPK,2019,3.1
2019,JPK,3.1
JPK,2020,3.1
2020,JPK,3.1
JPK,2021,3.1
2021,JPK,3.1
JPK,2022,3.1
2022,JPK,3.1
JPK,2023,3.1
2023,JPK,3.1
JPK,2024,3.1
2024,JPK,3.1
JPK,2025,3.1
2025,JPK,3.1
JPK,2026,3.1
2026,JPK,3.1
JPK,2027,3.2
2027,JPK,3.2
JPK,2028,3.2
2028,JPK,3.2
JPK,2029,3.2
2029,JPK,3.2
JPK,2030,3.2
2030,JPK,3.2
JPK,2031,3.2
2031,JPK,3.2
JPK,2032,3.3
2032,JPK,3.3
JPK,2033,3.3
2033,JPK,3.3
JPK,2034,3.3
2034,JPK,3.3
JPK,2035,3.3
2035,JPK,3.3
JPK,2036,3.4
2036,JPK,3.4
JPK,2037,3.4
2037,JPK,3.4
JPK,2038,3.4
2038,JPK,3.4
JPK,2039,3.4
2039,JPK,3.4
JPK,2040,3.3
2040,JPK,3.3
JPK,2041,3.4
2041,JPK,3.4
JPK,2042,3.4
2042,JPK,3.4
JPK,2043,3.4
2043,JPK,3.4
JPK,2044,3.4
2044,JPK,3.4
JPK,2045,3.4
2045,JPK,3.4
JPK,2046,3.4
2046,JPK,3.4
JPK,2047,3.4
2047,JPK,3.4
JPK,2048,3.4
2048,JPK,3.4
JPK,2049,3.4
2049,JPK,3.4
JPK,2050,3.4
2050,JPK,3.4
JPK,2051,3.4
2051,JPK,3.4
JPK,2052,3.4
2052,JPK,3.4
JPK,2053,3.4
2053,JPK,3.4
JPK,2054,3.4
2054,JPK,3.4
JPK,2055,3.4
2055,JPK,3.4
JPK,2056,3.4
2056,JPK,3.4
JPK,2057,3.4
2057,JPK,3.4
JPK,2058,3.4
2058,JPK,3.4
JPK,2059,3.4
2059,JPK,3.4
JPK,2060,3.4
2060,JPK,3.4
JPK,2061,3.4
2061,JPK,3.4
JPK,2062,3.4
2062,JPK,3.4
JPK,2063,3.4
2063,JPK,3.4
JPK,2064,3.4
2064,JPK,3.4
JPK,2065,3.4
2065,JPK,3.4
JPK,2066,3.4
2066,JPK,3.4
JPK,2067,3.5
2067,JPK,3.5
JPK,2068,3.5
2068,JPK,3.5
JPK,2069,3.5
2069,JPK,3.5
JPK,2070,3.4
2070,JPK,3.4
JPK,2071,3.5
2071,JPK,3.5
JPK,2072,3.5
2072,JPK,3.5
JPK,2073,3.5
2073,JPK,3.5
JPK,2074,3.5
2074,JPK,3.5
JPK,2075,3.5
2075,JPK,3.5
JPK,2076,3.5
2076,JPK,3.5
JPK,2077,3.5
2077,JPK,3.5
JPK,2078,3.5
2078,JPK,3.5
JPK,2079,3.5
2079,JPK,3.5
JPK,2080,3.5
2080,JPK,3.5
JPK,2081,3.5
2081,JPK,3.5
JPK,2082,3.5
2082,JPK,3.5
JPK,2083,3.5
2083,JPK,3.5
JPK,2084,3.5
2084,JPK,3.5
JPK,2085,3.5
2085,JPK,3.5
JPK,2086,3.6
2086,JPK,3.6
JPK,2087,3.6
2087,JPK,3.6
JPK,2088,3.6
2088,JPK,3.6
JPK,2089,3.6
2089,JPK,3.6
JPK,2090,3.7
2090,JPK,3.7
JPK,2091,3.7
2091,JPK,3.7
JPK,2092,3.7
2092,JPK,3.7
JPK,2093,3.7
2093,JPK,3.7
JPK,2094,3.7
2094,JPK,3.7
JPK,2095,3.6
2095,JPK,3.6
JPK,2096,3.7
2096,JPK,3.7
JPK,2097,3.7
2097,JPK,3.7
JPK,2098,3.7
2098,JPK,3.7
JPK,2099,3.7
2099,JPK,3.7
JPK,2100,3.7
2100,JPK,3.7
JPK,2101,3.7
2101,JPK,3.7
JPK,2102,3.7
2102,JPK,3.7
JPK,2103,3.7
2103,JPK,3.7
JPK,2104,3.8
2104,JPK,3.8
JPK,2105,3.8
2105,JPK,3.8
JPK,2106,3.8
2106,JPK,3.8
JPK,2107,3.8
2107,JPK,3.8
JPK,2108,3.8
2108,JPK,3.8
JPK,2109,3.8
2109,JPK,3.8
JPK,2110,3.9
2110,JPK,3.9
JPK,2111,3.9
2111,JPK,3.9
JPK,2112,3.9
2112,JPK,3.9
JPK,2113,3.9
2113,JPK,3.9
JPK,2114,3.9
2114,JPK,3.9
JPK,2115,3.9
2115,JPK,3.9
JPK,2116,3.9
2116,JPK,3.9
JPK,2117,4
2117,JPK,4
JPK,2118,4
2118,JPK,4
JPK,2119,4
2119,JPK,4
JPK,2120,4
2120,JPK,4
JPK,2121,4
2121,JPK,4
JPK,2122,4
2122,JPK,4
JPK,2123,4.1
2123,JPK,4.1
JPK,2124,4.1
2124,JPK,4.1
JPK,2125,4.1
2125,JPK,4.1
JPK,2126,4.1
2126,JPK,4.1
JPK,2127,4.1
2127,JPK,4.1
JPK,2128,4.1
2128,JPK,4.1
JPK,2129,4.1
2129,JPK,4.1
JPK,2130,4.2
2130,JPK,4.2
JPK,2131,4.2
2131,JPK,4.2
JPK,2132,4.2
2132,JPK,4.2
JPK,2133,4.2
2133,JPK,4.2
JPK,2134,4.2
2134,JPK,4.2
JPK,2135,4.2
2135,JPK,4.2
JPK,2136,4.3
2136,JPK,4.3
JPK,2137,4.3
2137,JPK,4.3
JPK,2138,4.3
2138,JPK,4.3
JPK,2139,4.3
2139,JPK,4.3
JPK,2140,4.3
2140,JPK,4.3
JPK,2141,4.3
2141,JPK,4.3
JPK,2142,4.4
2142,JPK,4.4
JPK,2143,4.4
2143,JPK,4.4
JPK,2144,4.4
2144,JPK,4.4
JPK,2145,4.4
2145,JPK,4.4
JPK,2146,4.4
2146,JPK,4.4
JPK,2147,4.4
2147,JPK,4.4
JPK,2148,4.4
2148,JPK,4.4
JPK,2149,4.5
2149,JPK,4.5
JPK,2150,4.5
2150,JPK,4.5
JPK,2151,4.5
2151,JPK,4.5
JPK,2152,4.5
2152,JPK,4.5
JPK,2153,4.5
2153,JPK,4.5
JPK,2154,4.5
2154,JPK,4.5
JPK,2155,4.6
2155,JPK,4.6
JPK,2156,4.6
2156,JPK,4.6
JPK,2157,4.6
2157,JPK,4.6
JPK,2158,4.6
2158,JPK,4.6
JPK,2159,4.6
2159,JPK,4.6
JPK,2160,4.6
2160,JPK,4.6
JPK,2161,4.6
2161,JPK,4.6
JPK,2162,4.7
2162,JPK,4.7
JPK,2163,4.7
2163,JPK,4.7
JPK,2164,4.7
2164,JPK,4.7
JPK,2165,4.7
2165,JPK,4.7
JPK,2166,4.7
2166,JPK,4.7
JPK,2167,4.7
2167,JPK,4.7
JPK,2168,4.8
2168,JPK,4.8
JPK,2169,4.8
2169,JPK,4.8
JPK,2170,4.8
2170,JPK,4.8
JPK,2171,4.8
2171,JPK,4.8
JPK,2172,4.8
2172,JPK,4.8
JPK,2173,4.8
2173,JPK,4.8
JPK,2174,4.9
2174,JPK,4.9
JPK,2175,4.9
2175,JPK,4.9
JPK,2176,4.9
2176,JPK,4.9
JPK,2177,4.9
2177,JPK,4.9
JPK,2178,4.9
2178,JPK,4.9
JPK,2179,4.9
2179,JPK,4.9
JPK,2180,4.9
2180,JPK,4.9
JPK,2181,5
2181,JPK,5
JPK,2182,5
2182,JPK,5
JPK,2183,5
2183,JPK,5
JPK,2184,5
2184,JPK,5
JPK,2185,5
2185,JPK,5
JPK,2186,5
2186,JPK,5
JPK,2187,5.1
2187,JPK,5.1
JPK,2188,5.1
2188,JPK,5.1
JPK,2189,5.1
2189,JPK,5.1
JPK,2190,5.1
2190,JPK,5.1
JPK,2191,5.1
2191,JPK,5.1
JPK,2192,5.1
2192,JPK,5.1
JPK,2193,5.1
2193,JPK,5.1
JPK,2194,5.2
2194,JPK,5.2
JPK,2195,5.2
2195,JPK,5.2
JPK,2196,5.2
2196,JPK,5.2
JPK,2197,5.2
2197,JPK,5.2
JPK,2198,5.2
2198,JPK,5.2
JPK,2199,5.2
2199,JPK,5.2
JPK,2200,5.3
2200,JPK,5.3
JPK,2201,5.3
2201,JPK,5.3
JPK,2202,5.3
2202,JPK,5.3
JPK,2203,5.4
2203,JPK,5.4
JPK,2204,5.4
2204,JPK,5.4
JPK,2205,5.4
2205,JPK,5.4
JPK,2206,5.4
2206,JPK,5.4
JPK,2207,5.5
2207,JPK,5.5
JPK,2208,5.5
2208,JPK,5.5
JPK,2209,5.5
2209,JPK,5.5
JPK,2210,5.5
2210,JPK,5.5
JPK,2211,5.6
2211,JPK,5.6
JPK,2212,5.6
2212,JPK,5.6
JPK,2213,5.6
2213,JPK,5.6
JPK,2214,5.6
2214,JPK,5.6
JPK,2215,5.6
2215,JPK,5.6
JPK,2216,5.7
2216,JPK,5.7
JPK,2217,5.7
2217,JPK,5.7
JPK,2218,5.7
2218,JPK,5.7
JPK,2219,5.7
2219,JPK,5.7
JPK,2220,5.8
2220,JPK,5.8
JPK,2221,5.8
2221,JPK,5.8
JPK,2222,5.8
2222,JPK,5.8
JPK,2223,5.8
2223,JPK,5.8
JPK,2224,5.9
2224,JPK,5.9
JPK,2225,5.9
2225,JPK,5.9
JPK,2226,5.9
2226,JPK,5.9
JPK,2227,5.9
2227,JPK,5.9
JPK,2228,5.9
2228,JPK,5.9
JPK,2229,6
2229,JPK,6
JPK,2230,6
2230,JPK,6
JPK,2231,6
2231,JPK,6
JPK,2232,6
2232,JPK,6
JPK,2233,6.1
2233,JPK,6.1
JPK,2234,6.1
2234,JPK,6.1
JPK,2235,6.1
2235,JPK,6.1
JPK,2236,6.1
2236,JPK,6.1
JPK,2237,6.1
2237,JPK,6.1
JPK,2238,6.2
2238,JPK,6.2
JPK,2239,6.2
2239,JPK,6.2
JPK,2240,6.2
2240,JPK,6.2
JPK,2241,6.2
2241,JPK,6.2
JPK,2242,6.3
2242,JPK,6.3
JPK,2243,6.3
2243,JPK,6.3
JPK,2244,6.3
2244,JPK,6.3
JPK,2245,6.3
2245,JPK,6.3
JPK,2246,6.4
2246,JPK,6.4
JPK,2247,6.4
2247,JPK,6.4
JPK,2248,6.4
2248,JPK,6.4
JPK,2249,6.4
2249,JPK,6.4
JPK,2250,6.4
2250,JPK,6.4
JPK,2251,6.5
2251,JPK,6.5
JPK,2252,6.5
2252,JPK,6.5
JPK,2253,6.5
2253,JPK,6.5
JPK,2254,6.5
2254,JPK,6.5
JPK,2255,6.6
2255,JPK,6.6
JPK,2256,6.6
2256,JPK,6.6
JPK,2257,6.6
2257,JPK,6.6
JPK,2258,6.6
2258,JPK,6.6
JPK,2259,6.7
2259,JPK,6.7
JPK,2260,6.7
2260,JPK,6.7
JPK,2261,6.7
2261,JPK,6.7
JPK,2262,6.7
2262,JPK,6.7
JPK,2263,6.7
2263,JPK,6.7
JPK,2264,6.8
2264,JPK,6.8
JPK,2265,6.8
2265,JPK,6.8
JPK,2266,6.8
2266,JPK,6.8
JPK,2267,6.8
2267,JPK,6.8
JPK,2268,6.9
2268,JPK,6.9
JPK,2269,6.9
2269,JPK,6.9
JPK,2270,6.9
2270,JPK,6.9
JPK,2271,6.9
2271,JPK,6.9
JPK,2272,7
2272,JPK,7
JPK,2273,7
2273,JPK,7
JPK,2274,7
2274,JPK,7
JPK,2275,7
2275,JPK,7
JPK,2276,7
2276,JPK,7
JPK,2277,7.1
2277,JPK,7.1
JPK,2278,7.1
2278,JPK,7.1
JPK,2279,7.1
2279,JPK,7.1
JPK,2280,7.1
2280,JPK,7.1
JPK,2281,7.2
2281,JPK,7.2
JPK,2282,7.2
2282,JPK,7.2
JPK,2283,7.2
2283,JPK,7.2
JPK,2284,7.2
2284,JPK,7.2
JPK,2285,7.2
2285,JPK,7.2
JPK,2286,7.3
2286,JPK,7.3
JPK,2287,7.3
2287,JPK,7.3
JPK,2288,7.3
2288,JPK,7.3
JPK,2289,7.3
2289,JPK,7.3
JPK,2290,7.4
2290,JPK,7.4
JPK,2291,7.4
2291,JPK,7.4
JPK,2292,7.4
2292,JPK,7.4
JPK,2293,7.4
2293,JPK,7.4
JPK,2294,7.5
2294,JPK,7.5
JPK,2295,7.5
2295,JPK,7.5
JPK,2296,7.5
2296,JPK,7.5
JPK,2297,7.5
2297,JPK,7.5
JPK,2298,7.5
2298,JPK,7.5
JPK,2299,7.6
2299,JPK,7.6
JPK,2300,7.6
2300,JPK,7.6
JPK,2301,7.6
2301,JPK,7.6
JPK,2302,7.6
2302,JPK,7.6
JPK,2303,7.6
2303,JPK,7.6
JPK,2304,7.6
2304,JPK,7.6
JPK,2305,7.6
2305,JPK,7.6
JPK,2306,7.6
2306,JPK,7.6
JPK,2307,7.6
2307,JPK,7.6
JPK,2308,7.6
2308,JPK,7.6
JPK,2309,7.6
2309,JPK,7.6
JPK,2310,7.6
2310,JPK,7.6
JPK,2311,7.6
2311,JPK,7.6
JPK,2312,7.6
2312,JPK,7.6
JPK,2313,7.6
2313,JPK,7.6
JPK,2314,7.6
2314,JPK,7.6
JPK,2315,7.6
2315,JPK,7.6
JPK,2316,7.6
2316,JPK,7.6
JPK,2317,7.6
2317,JPK,7.6
JPK,2318,7.6
2318,JPK,7.6
JPK,2319,7.6
2319,JPK,7.6
JPK,2320,7.6
2320,JPK,7.6
JPK,2321,7.6
2321,JPK,7.6
JPK,2322,7.6
2322,JPK,7.6
JPK,2323,7.6
2323,JPK,7.6
JPK,2324,7.6
2324,JPK,7.6
JPK,2325,7.6
2325,JPK,7.6
JPK,2326,7.6
2326,JPK,7.6
JPK,2327,7.6
2327,JPK,7.6
JPK,2328,7.6
2328,JPK,7.6
JPK,2329,7.6
2329,JPK,7.6
JPK,2330,7.6
2330,JPK,7.6
JPK,2331,7.6
2331,JPK,7.6
JPK,2332,7.6
2332,JPK,7.6
JPK,2333,7.6
2333,JPK,7.6
JPK,2334,7.6
2334,JPK,7.6
JPK,2335,7.6
2335,JPK,7.6
JPK,2336,7.6
2336,JPK,7.6
JPK,2337,7.6
2337,JPK,7.6
JPK,2338,7.6
2338,JPK,7.6
JPK,2339,7.6
2339,JPK,7.6
JPK,2340,7.6
2340,JPK,7.6
JPK,2341,7.6
2341,JPK,7.6
JPK,2342,7.6
2342,JPK,7.6
JPK,2343,7.6
2343,JPK,7.6
JPK,2344,7.6
2344,JPK,7.6
JPK,2345,7.6
2345,JPK,7.6
JPK,2346,7.6
2346,JPK,7.6
JPK,2347,7.6
2347,JPK,7.6
JPK,2348,7.6
2348,JPK,7.6
JPK,2349,7.6
2349,JPK,7.6
JPK,2350,7.6
2350,JPK,7.6
JPK,2351,7.6
2351,JPK,7.6
JPK,2352,7.6
2352,JPK,7.6
JPK,2353,7.6
2353,JPK,7.6
JPK,2354,7.6
2354,JPK,7.6
JPK,2355,7.6
2355,JPK,7.6
JPK,2356,7.6
2356,JPK,7.6
JPK,2357,7.6
2357,JPK,7.6
JPK,2358,7.6
2358,JPK,7.6
JPK,2359,7.6
2359,JPK,7.6
JPK,2360,7.6
2360,JPK,7.6
JPK,2361,7.6
2361,JPK,7.6
JPK,2362,7.6
2362,JPK,7.6
JPK,2363,7.6
2363,JPK,7.6
JPK,2364,7.6
2364,JPK,7.6
JPK,2365,7.6
2365,JPK,7.6
JPK,2366,7.6
2366,JPK,7.6
JPK,2367,7.6
2367,JPK,7.6
JPK,2368,7.6
2368,JPK,7.6
JPK,2369,7.6
2369,JPK,7.6
JPK,2370,7.6
2370,JPK,7.6
JPK,2371,7.6
2371,JPK,7.6
JPK,2372,7.6
2372,JPK,7.6
JPK,2373,7.6
2373,JPK,7.6
JPK,2374,7.6
2374,JPK,7.6
JPK,2375,7.6
2375,JPK,7.6
JPK,2376,7.6
2376,JPK,7.6
JPK,2377,7.6
2377,JPK,7.6
JPK,2378,7.6
2378,JPK,7.6
JPK,2379,7.6
2379,JPK,7.6
JPK,2380,7.6
2380,JPK,7.6
JPK,2381,7.6
2381,JPK,7.6
JPK,2382,7.6
2382,JPK,7.6
JPK,2383,7.6
2383,JPK,7.6
JPK,2384,7.6
2384,JPK,7.6
JPK,2385,7.6
2385,JPK,7.6
JPK,2386,7.6
2386,JPK,7.6
JPK,2387,7.6
2387,JPK,7.6
JPK,2388,7.6
2388,JPK,7.6
JPK,2389,7.6
2389,JPK,7.6
JPK,2390,7.6
2390,JPK,7.6
JPK,2391,7.6
2391,JPK,7.6
JPK,2392,7.6
2392,JPK,7.6
JPK,2393,7.6
2393,JPK,7.6
JPK,2394,7.6
2394,JPK,7.6
JPK,2395,7.6
2395,JPK,7.6
JPK,2396,7.6
2396,JPK,7.6
JPK,2397,7.6
2397,JPK,7.6
JPK,2398,7.6
2398,JPK,7.6
JPK,2399,7.6
2399,JPK,7.6
JPK,2400,7.6
2400,JPK,7.6
JPK,2401,7.6
2401,JPK,7.6
JPK,2402,7.6
2402,JPK,7.6
JPK,2403,7.6
2403,JPK,7.6
JPK,2404,7.6
2404,JPK,7.6
JPK,2405,7.6
2405,JPK,7.6
JPK,2406,7.6
2406,JPK,7.6
JPK,2407,7.6
2407,JPK,7.6
JPK,2408,7.6
2408,JPK,7.6
JPK,2409,7.6
2409,JPK,7.6
JPK,2410,7.6
2410,JPK,7.6
JPK,2411,7.6
2411,JPK,7.6
JPK,2412,7.6
2412,JPK,7.6
JPK,2413,7.6
2413,JPK,7.6
JPK,2414,7.6
2414,JPK,7.6
JPK,2415,7.6
2415,JPK,7.6
JPK,2416,7.6
2416,JPK,7.6
JPK,2417,7.6
2417,JPK,7.6
JPK,2418,7.6
2418,JPK,7.6
JPK,2419,7.6
2419,JPK,7.6
JPK,2420,7.6
2420,JPK,7.6
JPK,2421,7.6
2421,JPK,7.6
JPK,2422,7.6
2422,JPK,7.6
JPK,2423,7.6
2423,JPK,7.6
JPK,2424,7.6
2424,JPK,7.6
JPK,2425,7.6
2425,JPK,7.6
JPK,2426,7.6
2426,JPK,7.6
JPK,2427,7.6
2427,JPK,7.6
JPK,2428,7.6
2428,JPK,7.6
JPK,2429,7.6
2429,JPK,7.6
JPK,2430,7.6
2430,JPK,7.6
JPK,2431,7.6
2431,JPK,7.6
JPK,2432,7.6
2432,JPK,7.6
JPK,2433,7.6
2433,JPK,7.6
JPK,2434,7.6
2434,JPK,7.6
JPK,2435,7.6
2435,JPK,7.6
JPK,2436,7.6
2436,JPK,7.6
JPK,2437,7.6
2437,JPK,7.6
JPK,2438,7.6
2438,JPK,7.6
JPK,2439,7.6
2439,JPK,7.6
JPK,2440,7.6
2440,JPK,7.6
JPK,2441,7.6
2441,JPK,7.6
JPK,2442,7.6
2442,JPK,7.6
JPK,2443,7.6
2443,JPK,7.6
JPK,2444,7.6
2444,JPK,7.6
JPK,2445,7.6
2445,JPK,7.6
JPK,2446,7.6
2446,JPK,7.6
JPK,2447,7.6
2447,JPK,7.6
JPK,2448,7.6
2448,JPK,7.6
JPK,2449,7.6
2449,JPK,7.6
JPK,2450,7.6
2450,JPK,7.6
JPK,2451,7.6
2451,JPK,7.6
JPK,2452,7.6
2452,JPK,7.6
JPK,2453,7.6
2453,JPK,7.6
JPK,2454,7.6
2454,JPK,7.6
JPK,2455,7.6
2455,JPK,7.6
JPK,2456,7.6
2456,JPK,7.6
JPK,2457,7.6
2457,JPK,7.6
JPK,2458,7.6
2458,JPK,7.6
JPK,2459,7.6
2459,JPK,7.6
JPK,2460,7.6
2460,JPK,7.6
JPK,2461,7.6
2461,JPK,7.6
JPK,2462,7.6
2462,JPK,7.6
JPK,2463,7.6
2463,JPK,7.6
JPK,2464,7.6
2464,JPK,7.6
JPK,2465,7.6
2465,JPK,7.6
JPK,2466,7.6
2466,JPK,7.6
JPK,2467,7.6
2467,JPK,7.6
JPK,2468,7.6
2468,JPK,7.6
JPK,2469,7.6
2469,JPK,7.6
JPK,2470,7.6
2470,JPK,7.6
JPK,2471,7.6
2471,JPK,7.6
JPK,2472,7.6
2472,JPK,7.6
JPK,2473,7.6
2473,JPK,7.6
JPK,2474,7.6
2474,JPK,7.6
JPK,2475,7.6
2475,JPK,7.6
JPK,2476,7.6
2476,JPK,7.6
JPK,2477,7.6
2477,JPK,7.6
JPK,2478,7.6
2478,JPK,7.6
JPK,2479,7.6
2479,JPK,7.6
JPK,2480,7.6
2480,JPK,7.6
JPK,2481,7.6
2481,JPK,7.6
JPK,2482,7.6
2482,JPK,7.6
JPK,2483,7.6
2483,JPK,7.6
JPK,2484,7.6
2484,JPK,7.6
JPK,2485,7.6
2485,JPK,7.6
JPK,2486,7.6
2486,JPK,7.6
JPK,2487,7.6
2487,JPK,7.6
JPK,2488,7.6
2488,JPK,7.6
JPK,2489,7.6
2489,JPK,7.6
JPK,2490,7.6
2490,JPK,7.6
JPK,2491,7.6
2491,JPK,7.6
JPK,2492,7.6
2492,JPK,7.6
JPK,2493,7.6
2493,JPK,7.6
JPK,2494,7.6
2494,JPK,7.6
JPK,2495,7.6
2495,JPK,7.6
JPK,2496,7.6
2496,JPK,7.6
JPK,2497,7.6
2497,JPK,7.6
JPK,2498,7.6
2498,JPK,7.6
JPK,2499,7.6
2499,JPK,7.6
JPK,2500,7.6
2500,JPK,7.6
JPK,2501,7.6
2501,JPK,7.6
JPK,2502,7.6
2502,JPK,7.6
JPK,2503,7.6
2503,JPK,7.6
JPK,2504,7.6
2504,JPK,7.6
JPK,2505,7.6
2505,JPK,7.6
JPK,2506,7.6
2506,JPK,7.6
JPK,2507,7.6
2507,JPK,7.6
JPK,2508,7.6
2508,JPK,7.6
JPK,2509,7.6
2509,JPK,7.6
JPK,2510,7.6
2510,JPK,7.6
JPK,2511,7.6
