Region,Region,migrate
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.009901951359278516
WEU,,0.009901951359278516
,JPK,0.01
JPK,,0.01
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.02
WEU,,0.02
,JPK,0.009901951359278516
JPK,,0.009901951359278516
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.02
WEU,,0.02
,JPK,0.01
JPK,,0.01
,ANZ,0.009901951359278516
ANZ,,0.009901951359278516
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.02
WEU,,0.02
,JPK,0.001
JPK,,0.001
,ANZ,0.01
ANZ,,0.01
,EEU,0.009901951359278516
EEU,,0.009901951359278516
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.02
WEU,,0.02
,JPK,0.001
JPK,,0.001
,ANZ,0.01
ANZ,,0.01
,EEU,0.05
EEU,,0.05
,FSU,0.009901951359278516
FSU,,0.009901951359278516
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.04
USA,,0.04
,CAN,0.01
CAN,,0.01
,WEU,0.04
WEU,,0.04
,JPK,0.005
JPK,,0.005
,ANZ,0.01
ANZ,,0.01
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.010977222864644365
MDE,,0.010977222864644365
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.1
USA,,0.1
,CAN,0.05
CAN,,0.05
,WEU,0.05
WEU,,0.05
,JPK,0.01
JPK,,0.01
,ANZ,0.01
ANZ,,0.01
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.010977222864644365
CAM,,0.010977222864644365
,LAM,0.005
LAM,,0.005
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.1
USA,,0.1
,CAN,0.05
CAN,,0.05
,WEU,0.05
WEU,,0.05
,JPK,0.01
JPK,,0.01
,ANZ,0.01
ANZ,,0.01
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.005
CAM,,0.005
,LAM,0.010977222864644365
LAM,,0.010977222864644365
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.04
USA,,0.04
,CAN,0.01
CAN,,0.01
,WEU,0.04
WEU,,0.04
,JPK,0.005
JPK,,0.005
,ANZ,0.005
ANZ,,0.005
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.010977222864644365
SAS,,0.010977222864644365
,SEA,0.005
SEA,,0.005
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.04
USA,,0.04
,CAN,0.01
CAN,,0.01
,WEU,0.02
WEU,,0.02
,JPK,0.01
JPK,,0.01
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.005
SAS,,0.005
,SEA,0.010977222864644365
SEA,,0.010977222864644365
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.04
USA,,0.04
,CAN,0.01
CAN,,0.01
,WEU,0.02
WEU,,0.02
,JPK,0.01
JPK,,0.01
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.005
SEA,,0.005
,CHI,0.010977222864644365
CHI,,0.010977222864644365
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.01
USA,,0.01
,CAN,0.005
CAN,,0.005
,WEU,0.09
WEU,,0.09
,JPK,0.001
JPK,,0.001
,ANZ,0.005
ANZ,,0.005
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.010977222864644365
MAF,,0.010977222864644365
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.03
USA,,0.03
,CAN,0.005
CAN,,0.005
,WEU,0.06
WEU,,0.06
,JPK,0.001
JPK,,0.001
,ANZ,0.005
ANZ,,0.005
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.005
MAF,,0.005
,SSA,0.010977222864644365
SSA,,0.010977222864644365
,SIS,0.001
SIS,,0.001
,USA,0.15
USA,,0.15
,CAN,0.1
CAN,,0.1
,WEU,0.15
WEU,,0.15
,JPK,0.05
JPK,,0.05
,ANZ,0.15
ANZ,,0.15
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.1
CAM,,0.1
,LAM,0.1
LAM,,0.1
,SAS,0.1
SAS,,0.1
,SEA,0.1
SEA,,0.1
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.1
SIS,,0.1
,USA,
USA,,
,CAN,
CAN,,
,WEU,
WEU,,
,JPK,
JPK,,
,ANZ,
ANZ,,
,EEU,
EEU,,
,FSU,
FSU,,
,MDE,
MDE,,
,CAM,
CAM,,
,LAM,
LAM,,
,SAS,
SAS,,
,SEA,
SEA,,
,CHI,
CHI,,
,MAF,
MAF,,
,SSA,
SSA,,
,SIS,
SIS,,
mean,USA,1.0099019513592786
USA,mean,1.0099019513592786
mean,CAN,0.05
CAN,mean,0.05
mean,WEU,0.02
WEU,mean,0.02
mean,JPK,0.01
JPK,mean,0.01
mean,ANZ,0.02
ANZ,mean,0.02
mean,EEU,0.001
EEU,mean,0.001
mean,FSU,0.001
FSU,mean,0.001
mean,MDE,0.001
MDE,mean,0.001
mean,CAM,0.001
CAM,mean,0.001
mean,LAM,0.001
LAM,mean,0.001
mean,SAS,0.001
SAS,mean,0.001
mean,SEA,0.001
SEA,mean,0.001
mean,CHI,0.001
CHI,mean,0.001
mean,MAF,0.001
MAF,mean,0.001
mean,SSA,0.001
SSA,mean,0.001
mean,SIS,0.001
SIS,mean,0.001
,USA,0.05
USA,,0.05
,CAN,1.0099019513592786
CAN,,1.0099019513592786
,WEU,0.02
WEU,,0.02
,JPK,0.01
JPK,,0.01
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,1.0099019513592786
WEU,,1.0099019513592786
,JPK,0.01
JPK,,0.01
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.02
WEU,,0.02
,JPK,1.0099019513592786
JPK,,1.0099019513592786
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.02
WEU,,0.02
,JPK,0.01
JPK,,0.01
,ANZ,1.0099019513592786
ANZ,,1.0099019513592786
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.02
WEU,,0.02
,JPK,0.001
JPK,,0.001
,ANZ,0.01
ANZ,,0.01
,EEU,1.0099019513592786
EEU,,1.0099019513592786
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.05
USA,,0.05
,CAN,0.02
CAN,,0.02
,WEU,0.02
WEU,,0.02
,JPK,0.001
JPK,,0.001
,ANZ,0.01
ANZ,,0.01
,EEU,0.05
EEU,,0.05
,FSU,1.0099019513592786
FSU,,1.0099019513592786
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.08
USA,,0.08
,CAN,0.02
CAN,,0.02
,WEU,0.08
WEU,,0.08
,JPK,0.005
JPK,,0.005
,ANZ,0.02
ANZ,,0.02
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.9109772228646446
MDE,,0.9109772228646446
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.2
USA,,0.2
,CAN,0.05
CAN,,0.05
,WEU,0.05
WEU,,0.05
,JPK,0.01
JPK,,0.01
,ANZ,0.01
ANZ,,0.01
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.9109772228646446
CAM,,0.9109772228646446
,LAM,0.005
LAM,,0.005
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.2
USA,,0.2
,CAN,0.05
CAN,,0.05
,WEU,0.05
WEU,,0.05
,JPK,0.01
JPK,,0.01
,ANZ,0.01
ANZ,,0.01
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.005
CAM,,0.005
,LAM,0.9109772228646446
LAM,,0.9109772228646446
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.08
USA,,0.08
,CAN,0.02
CAN,,0.02
,WEU,0.08
WEU,,0.08
,JPK,0.01
JPK,,0.01
,ANZ,0.01
ANZ,,0.01
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.9109772228646446
SAS,,0.9109772228646446
,SEA,0.005
SEA,,0.005
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.08
USA,,0.08
,CAN,0.02
CAN,,0.02
,WEU,0.04
WEU,,0.04
,JPK,0.02
JPK,,0.02
,ANZ,0.04
ANZ,,0.04
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.005
SAS,,0.005
,SEA,0.9109772228646446
SEA,,0.9109772228646446
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.08
USA,,0.08
,CAN,0.02
CAN,,0.02
,WEU,0.04
WEU,,0.04
,JPK,0.02
JPK,,0.02
,ANZ,0.04
ANZ,,0.04
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.005
SEA,,0.005
,CHI,0.9109772228646446
CHI,,0.9109772228646446
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.02
USA,,0.02
,CAN,0.005
CAN,,0.005
,WEU,0.18
WEU,,0.18
,JPK,0.001
JPK,,0.001
,ANZ,0.005
ANZ,,0.005
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.9109772228646446
MAF,,0.9109772228646446
,SSA,0.001
SSA,,0.001
,SIS,0.001
SIS,,0.001
,USA,0.06
USA,,0.06
,CAN,0.01
CAN,,0.01
,WEU,0.12
WEU,,0.12
,JPK,0.001
JPK,,0.001
,ANZ,0.01
ANZ,,0.01
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.001
CAM,,0.001
,LAM,0.001
LAM,,0.001
,SAS,0.001
SAS,,0.001
,SEA,0.001
SEA,,0.001
,CHI,0.001
CHI,,0.001
,MAF,0.005
MAF,,0.005
,SSA,0.9109772228646446
SSA,,0.9109772228646446
,SIS,0.001
SIS,,0.001
,USA,0.3
USA,,0.3
,CAN,0.2
CAN,,0.2
,WEU,0.3
WEU,,0.3
,JPK,0.1
JPK,,0.1
,ANZ,0.3
ANZ,,0.3
,EEU,0.001
EEU,,0.001
,FSU,0.001
FSU,,0.001
,MDE,0.001
MDE,,0.001
,CAM,0.2
CAM,,0.2
,LAM,0.2
LAM,,0.2
,SAS,0.2
SAS,,0.2
,SEA,0.2
SEA,,0.2
,CHI,0.001
CHI,,0.001
,MAF,0.001
MAF,,0.001
,SSA,0.001
SSA,,0.001
,SIS,0.1
SIS,,0.1
,USA,
USA,,
,CAN,
CAN,,
,WEU,
WEU,,
,JPK,
JPK,,
,ANZ,
ANZ,,
,EEU,
EEU,,
,FSU,
FSU,,
,MDE,
MDE,,
,CAM,
CAM,,
,LAM,
LAM,,
,SAS,
SAS,,
,SEA,
SEA,,
,CHI,
CHI,,
,MAF,
MAF,,
,SSA,
SSA,,
,SIS,
SIS,,
mode,USA,1
USA,mode,1
mode,CAN,0
CAN,mode,0
mode,WEU,0
WEU,mode,0
mode,JPK,0
JPK,mode,0
mode,ANZ,0
ANZ,mode,0
mode,EEU,0
EEU,mode,0
mode,FSU,0
FSU,mode,0
mode,MDE,0
MDE,mode,0
mode,CAM,0
CAM,mode,0
mode,LAM,0
LAM,mode,0
mode,SAS,0
SAS,mode,0
mode,SEA,0
SEA,mode,0
mode,CHI,0
CHI,mode,0
mode,MAF,0
MAF,mode,0
mode,SSA,0
SSA,mode,0
mode,SIS,0
SIS,mode,0
,USA,0
USA,,0
,CAN,1
CAN,,1
,WEU,0
WEU,,0
,JPK,0
JPK,,0
,ANZ,0
ANZ,,0
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0
USA,,0
,CAN,0
CAN,,0
,WEU,1
WEU,,1
,JPK,0
JPK,,0
,ANZ,0
ANZ,,0
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0
USA,,0
,CAN,0
CAN,,0
,WEU,0
WEU,,0
,JPK,1
JPK,,1
,ANZ,0
ANZ,,0
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0
USA,,0
,CAN,0
CAN,,0
,WEU,0
WEU,,0
,JPK,0
JPK,,0
,ANZ,1
ANZ,,1
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0
USA,,0
,CAN,0
CAN,,0
,WEU,0
WEU,,0
,JPK,0
JPK,,0
,ANZ,0
ANZ,,0
,EEU,1
EEU,,1
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0
USA,,0
,CAN,0
CAN,,0
,WEU,0
WEU,,0
,JPK,0
JPK,,0
,ANZ,0
ANZ,,0
,EEU,0
EEU,,0
,FSU,1
FSU,,1
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0.04
USA,,0.04
,CAN,0.01
CAN,,0.01
,WEU,0.04
WEU,,0.04
,JPK,0
JPK,,0
,ANZ,0.01
ANZ,,0.01
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0.9000000000000001
MDE,,0.9000000000000001
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0.1
USA,,0.1
,CAN,0
CAN,,0
,WEU,0
WEU,,0
,JPK,0
JPK,,0
,ANZ,0
ANZ,,0
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0.9000000000000001
CAM,,0.9000000000000001
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0.1
USA,,0.1
,CAN,0
CAN,,0
,WEU,0
WEU,,0
,JPK,0
JPK,,0
,ANZ,0
ANZ,,0
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0.9000000000000001
LAM,,0.9000000000000001
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0.04
USA,,0.04
,CAN,0.01
CAN,,0.01
,WEU,0.04
WEU,,0.04
,JPK,0.005
JPK,,0.005
,ANZ,0.005
ANZ,,0.005
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0.9000000000000001
SAS,,0.9000000000000001
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0.04
USA,,0.04
,CAN,0.01
CAN,,0.01
,WEU,0.02
WEU,,0.02
,JPK,0.01
JPK,,0.01
,ANZ,0.02
ANZ,,0.02
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0.9000000000000001
SEA,,0.9000000000000001
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0.04
USA,,0.04
,CAN,0.01
CAN,,0.01
,WEU,0.02
WEU,,0.02
,JPK,0.01
JPK,,0.01
,ANZ,0.02
ANZ,,0.02
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0.9000000000000001
CHI,,0.9000000000000001
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0.01
USA,,0.01
,CAN,0
CAN,,0
,WEU,0.09
WEU,,0.09
,JPK,0
JPK,,0
,ANZ,0
ANZ,,0
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0.9000000000000001
MAF,,0.9000000000000001
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,0.03
USA,,0.03
,CAN,0.005
CAN,,0.005
,WEU,0.06
WEU,,0.06
,JPK,0
JPK,,0
,ANZ,0.005
ANZ,,0.005
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0
CAM,,0
,LAM,0
LAM,,0
,SAS,0
SAS,,0
,SEA,0
SEA,,0
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0.9000000000000001
SSA,,0.9000000000000001
,SIS,0
SIS,,0
,USA,0.15
USA,,0.15
,CAN,0.1
CAN,,0.1
,WEU,0.15
WEU,,0.15
,JPK,0.05
JPK,,0.05
,ANZ,0.15
ANZ,,0.15
,EEU,0
EEU,,0
,FSU,0
FSU,,0
,MDE,0
MDE,,0
,CAM,0.1
CAM,,0.1
,LAM,0.1
LAM,,0.1
,SAS,0.1
SAS,,0.1
,SEA,0.1
SEA,,0.1
,CHI,0
CHI,,0
,MAF,0
MAF,,0
,SSA,0
SSA,,0
,SIS,0
SIS,,0
,USA,
USA,,
,CAN,
CAN,,
,WEU,
WEU,,
,JPK,
JPK,,
,ANZ,
ANZ,,
,EEU,
EEU,,
,FSU,
FSU,,
,MDE,
MDE,,
,CAM,
CAM,,
,LAM,
LAM,,
,SAS,
SAS,,
,SEA,
SEA,,
,CHI,
CHI,,
,MAF,
MAF,,
,SSA,
SSA,,
,SIS,
SIS,,
st.dev.,USA,0.10000000000000017
USA,st.dev.,0.10000000000000017
st.dev.,CAN,0.05
CAN,st.dev.,0.05
st.dev.,WEU,0.02
WEU,st.dev.,0.02
st.dev.,JPK,0.01
JPK,st.dev.,0.01
st.dev.,ANZ,0.02
ANZ,st.dev.,0.02
st.dev.,EEU,0.001
EEU,st.dev.,0.001
st.dev.,FSU,0.001
FSU,st.dev.,0.001
st.dev.,MDE,0.001
MDE,st.dev.,0.001
st.dev.,CAM,0.001
CAM,st.dev.,0.001
st.dev.,LAM,0.001
LAM,st.dev.,0.001
st.dev.,SAS,0.001
SAS,st.dev.,0.001
st.dev.,SEA,0.001
SEA,st.dev.,0.001
